id,keyword,phonetic_code
1500,subway,S1
427,live-action,L1235
1923,team,T5
2405,attic,A32
1610,prediction,P6323
3406,lingerie-slip,L5262
5529,falling-in-love,F4525
3886,framed-photograph,F6531
1365,saint-louis,S5342
2442,extraterrestrial,E2363
5972,record-player,R2631
938,toxic-waste,T23
714,falling,F452
5171,aerobics-class,A6124
3622,badge,B32
5300,falling-from-height,F4521
3081,funeral,F564
5465,galileo,G4
2085,serial-killer,S6424
452,model-airplane,M3461
2479,relationship-problems,R4352
245,love,L1
4115,disembodied-voice,D2513
2026,murder-trial,M6363
4242,back-wound,B253
4570,queen-victoria,Q5123
1075,single-parent,S5241
3339,gay-kiss,G2
993,non-sequitur,N5236
4802,prosecutor,P6236
2764,female-archaeologist,F5462
3642,clitoris,C4362
5029,stolen-credit-card,S3452
2633,investigative-reporter,I5123
5351,health-inspector,H4352
2710,police-informant,P4251
159,steamer-trunk,S3563
2457,mascot,M23
2176,abortion,A1635
2623,reportage,R1632
5563,military-draft,M4363
2747,bombmaker,B5152
182,home-owners-association,H5623
5369,george-cross,G6262
2142,dating-show,D352
2393,nascar,N26
3188,stole,S34
3590,crossword-puzzle,C6263
3045,casual-sex,C242
2038,cowardly-sheriff,C6342
3643,dyke,D2
1030,queens-new-york-city,Q5256
2264,gay-bait,G13
606,elephant,E4153
2412,plot-twist,P4323
4139,call-for-help,C4164
2653,criminal-investigation,C6545
2953,laundry,L536
4453,explorer,E2146
5432,drowning-in-a-bathtub,D6525
2551,native-american,N3156
4764,long-lost-daughter,L5242
1860,security-guard,S2632
2984,date,D3
2613,wikileaks,W242
4468,killing-an-animal,K4525
3459,childhood-friend,C4316
1574,wheelchair,W426
1129,truck,T62
4541,face-scratch,F2632
4899,absurd-humor,A1263
3206,tutoring,T3652
604,cable-car,C1426
999,hidden-fortune,H3516
2791,beaten-to-death,B353
1641,epilepsy,E1412
1785,dead-flight-attendant,D3142
705,attraction,A3623
3152,suspicion,S2125
3123,suspension,S2152
4655,gold-leaf,G4341
2760,swastika,S232
2231,stand-up-comedian,S3531
3249,civilian,C145
3394,alternative-comedy,A4365
1256,insomnia,I525
2046,hanged-man,H5235
1174,ketchup,K321
4359,reading-book,R3521
1649,drama-filmmaking,D6514
3083,cardiac-arrest,C6326
1284,look-alike,L242
271,beer-bottle,B6134
2740,false-passport,F4212
3513,fisherman,F265
1784,security-guard-killed,S2632
2900,bowling,B452
4363,spiritualist,S1634
2859,school-bus,S2412
5195,reference-to-acker-bilk,R1652
5052,missing-girl,M2526
695,workaholic,W6242
4054,blanket-moves-by-itself,B4523
1060,investigation,I5123
1700,trauma,T65
383,internet,I5365
1619,classic-rock-music,C4262
4010,demonology,D542
4531,hairdresser,H6362
3211,1st-century-b.c.,S3253
1262,spooning,S152
4961,mime,M5
1404,money-problems,M5161
911,online-series,O5452
3377,foreign-adoption,F6253
928,throat-slitting,T6324
16,dirty-joke,D632
3414,telenovela,T4514
5769,punk,P52
611,ostrich,O2362
5997,junkyard-dog,J5263
4458,gunshot,G523
5324,intuition,I535
1543,hit-record,H3626
981,spanish,S152
4925,city,C3
1489,bite,B3
4663,displaced-person,D2142
1550,vladimir-lenin,V4356
2498,cinema-verite,C5163
90,funny-nazi,F52
5002,drugstore,D6236
260,tall-man,T45
2473,school-career-day,S2426
4109,breaking-up-with-girlfriend,B6252
5581,shawl,S4
1358,san-diego-california,S5324
2345,drug-cartel,D6263
4617,inventor,I5153
2566,university-professor,U5162
1643,clairvoyance,C4615
1818,biohazard,B263
5789,savant,S153
1608,future,F36
988,fantasy-world,F5326
5970,janitor,J536
641,russia,R2
2465,fat-cop,F321
3773,push-down-stairs,P2352
3993,illness,I452
1764,terrorism-prevention,T6251
5112,greyhound,G653
687,argument,A6253
5456,japanese-invasion,J1525
4609,older-man-younger-woman-relationship,O4365
1293,year-in-title,Y6534
4473,male-ghost,M423
2695,alias,A42
1511,comedy-central,C5325
4854,zoo,Z
1508,note,N3
2113,dallas-texas,D4232
2233,television-writer,T4125
1967,indian-wife,I5351
4593,loss-of-father,L2136
1982,telegraph-office,T4261
3598,knee,K5
3011,meeting-parent,M3521
5314,pager,P26
2005,sonora-mexico,S5652
1992,ruby-arizona,R1625
1964,ex-convict,E2512
4673,attempted-murder,A3513
3811,axe,A2
4074,flying-book,F4521
4559,salt,S43
2446,landlady,L5343
5704,child-custody,C4323
5175,cobra,C16
1791,murder-of-a-policewoman,M6361
1061,murder-weapon,M6361
2299,reference-to-nintendo,R1652
4243,bloody-arm,B4365
4345,traumatic-experience,T6532
2685,run-over-by-a-car,R5161
3815,cloak,C42
3779,tears,T62
1375,hockey,H2
3444,child-murder,C4356
227,dispute,D213
3337,lesbian-kiss,L2152
333,psychiatrist,P2362
3307,assumed-identity,A2535
1868,aerial-surveillance,A6426
3646,female-ejaculation,F5424
1980,jail-break,J4162
483,singer-songwriter,S5262
4972,blunt-instrument,B4535
5383,planting-evidence,P4535
5215,pimp,P51
432,artist,A6323
5727,drunk-driver,D6523
1556,priest,P623
4510,landlord,L5346
291,homeopathy,H513
647,vision,V25
4629,gangster,G5236
1699,surgery,S626
2716,body-dump,B351
3767,garden-hose,G6352
5473,planet,P453
5544,disability-rights,D2143
4183,american-girl,A5625
2392,auto-racing,A3625
822,science-history,S2523
3121,jumper,J516
4132,apparition,A1635
5065,supermarket,S1656
3695,moving-in,M1525
5154,steroid,S363
4077,hair-stands-on-end,H6235
2521,millionaire,M456
4898,serbian-immigrant,S6152
4818,monkey-wrench,M5265
2246,workplace,W6214
5014,mutilated-corpse,M3432
350,stranger-than-truth,S3652
1912,tear-on-cheek,T652
512,homosexuality,H5243
5861,comeback,C512
5783,foster-home,F2365
536,boat,B3
697,caring,C652
3267,waking-nightmare,W2525
2110,target-practice,T6231
4126,toothpaste,T3123
5706,vacation,V235
62,digit-in-title,D2353
3684,555-phone-number,P516
3863,black-cat,B423
2574,asterisk-in-title,A2362
2643,film-criticism,F4526
4061,christmas-gift,C6235
3700,surveillance-footage,S6145
4784,dead-woman-on-floor,D3514
380,cyberculture,C1624
2852,sibling-relationship,S1452
3722,newspaper-reporter,N2161
486,newspaper,N216
3241,reference-to-cleopatra,R1652
2286,pole-dancer,P4352
1750,political-candidate,P4324
2409,penthouse,P532
1618,chat,C3
2084,purse,P62
2349,drug-trafficking,D6236
5031,toothache,T32
1611,technology,T2542
3838,doorknob-rattles-by-itself,D6251
1122,mafia-don,M135
2577,home-decorating,H5326
1762,surveillance,S6145
1125,mobster,M1236
2999,vandalism,V5342
2205,homophobia,H51
4823,college-professor,C4216
2327,marching-band,M6252
2510,kidnapped-child,K3513
5829,singapore,S5216
5806,advertisement,A3163
4121,painter-as-artist,P5362
5276,end-of-the-millenium,E5313
2350,drug-war,D626
5751,body-swap,B321
4213,halloween-costume,H4523
2536,world-travel,W6436
3203,scholarship,S2462
2492,summer,S56
3370,birth-of-a-baby-footage,B6313
2416,british-music,B6325
3555,miniature-golf,M5362
2261,mrs.-claus,M6242
2638,weekly,W24
3630,nymphomaniac,N5152
3809,alone-in-house,A452
2657,angel-of-death,A5241
1588,dart,D63
678,newborn-baby,N1651
996,traffic,T612
2535,world,W643
1744,mexican-standoff,M2523
3032,dare,D6
138,murder-of-husband,M6361
1007,amputation,A5135
1251,unwanted-guest,U5323
2582,tsunami,T25
3962,black-husband-white-wife,B4215
2562,product-placement,P6323
5247,kennel,K54
3641,clap,C41
530,soccer-player,S2614
5081,superintendent,S1653
699,giving-back,G1521
923,battle-of-hastings,B3412
364,2010s,S
2427,kyushu-japan,K215
2255,911,
3317,beverly-hills-california,B1642
4249,documentary-subject's-name-in-title,D2536
5708,track-and-field,T6253
5920,statue-of-liberty,S3141
888,upskirt,U1263
2508,child-kidnapping,C4323
5647,dissection,D235
3335,reunited-lovers,R5341
844,false-identity,F4235
2842,frenchman,F6525
3604,stone,S35
250,neighbor,N216
1755,secret-service,S2632
1895,cutting-off-thumb,C3521
4465,hypnotism,H1532
1207,motor-home,M365
2567,widower,W36
4883,documentary-series,D2536
4420,white-paint,W3153
247,married-couple,M6321
4700,flower-show,F462
4973,burglar,B6246
4301,fractured-vertebrae,F6236
871,freak-accident,F6235
5487,mars-the-planet,M6231
2488,independent-film,I5315
3911,swing-set,S523
5350,gurney,G65
2755,pipe-bomb,P151
254,rage,R2
4980,jamaican,J525
4597,school-uniform,S2451
81,cigarette-holder,C2634
2277,dollar-bill,D4614
4261,resentment-toward-wife,R2535
1696,hospital-porter,H2134
5067,serial-murder,S6456
233,high-school-teacher,H2432
1247,yoga,Y2
5019,post-office-box,P2312
3455,historically-black-college,H2362
3898,playground-swing,P4265
908,puppy,P1
4157,leaving-home,L1525
2712,snitch,S532
2630,fictional-reality-show,F2354
26,shaking-one's-butt,S2525
5585,provence,P6152
4948,new-zealand,N2453
3449,based-on-radio-play,B2356
156,groom,G65
3575,mask,M2
2121,clowning,C452
1281,partial-female-nudity,P6341
292,influenza,I5145
4258,orange-juice,O652
1545,date-in-title,D3534
1807,first-lady,F6234
4904,running-gag,R52
4534,organ-music,O6252
2107,hunting,H5352
305,tv,T1
2836,ruby,R1
2160,scientific-experiment,S2531
4175,troubled-family,T6143
1528,horse-racing,H6262
3162,dressing,D6252
4545,rented-house,R532
166,gay-husband,G2153
2928,detention,D3535
3172,diary,D6
3592,false-teeth,F423
5250,stabbed-in-the-abdomen,S3135
4509,gunshot-wound,G5235
3214,helping-hand,H4152
2314,jump-the-shark,J5132
5506,saturn's-moon-titan,S3652
5483,mars-clime,M6245
3588,clock,C42
1013,nurse,N62
5463,black-smoker,B4252
4184,american-man,A5625
2969,vomiting,V5352
5986,abandoned-pet,A1535
2404,social,S24
4023,skepticism,S2132
4241,atchison-topeka-and-santa-fe-railroad,A3253
4752,bomb-squad,B5123
1569,reference-to-cinderella,R1652
5799,casket,C23
5863,record-company,R2632
2835,poodle,P34
4014,ghost-hunter,G2353
855,kick,K2
825,teen,T5
5147,foaming-at-the-mouth,F5235
4098,seymour-connecticut,S5625
809,disco-music,D252
2952,internment,I5365
2950,knee-injury,K526
490,science,S252
2627,mall,M4
3961,black-girl,B4264
507,gay-culture,G2436
4476,nervousness,N6125
4026,syracuse-new-york,S6256
118,reference-to-marie-antoinette,R1652
3899,possessed-boy,P231
3628,dress,D62
3071,hickey,H2
2293,high-school-reunion,H2465
4419,upstate-new-york,U1235
2554,boyfriend-girlfriend-relationship,B1653
3870,child-destroys-own-toy,C4323
4075,grandmother-granddaughter-relationship,G6535
670,bike-riding,B2635
1108,no-birth-control,N1632
3509,countryside,C5362
5674,blowing-bubbles,B4521
1991,identical-twins,I3532
4403,backyard,B263
777,ethics,E32
1534,film-history,F4523
5221,suicide-by-falling,S2314
1200,renewal-of-marriage-vows,R5415
345,based-on-real-events,B2356
5945,rugged-terrain,R2365
454,youth-theater,Y36
553,bocce,B2
4215,montello-wisconsin,M5342
848,mexican,M25
4722,tricorner-hat,T6265
5969,coat-room,C365
765,paper,P16
2598,broadway,B63
258,smiling,S5452
985,astrology,A2364
2966,juvenile-prison,J1541
4889,scooby-doo,S213
5397,hounds,H532
659,anthropomorphic-animal,A5361
1953,henpecked-husband,H5123
5415,blind-woman,B4535
219,colleague,C42
391,subtitled,S1343
2114,gadget,G323
389,paraplegic,P6142
4111,can-of-paint,C5153
4562,subtitles,S1342
849,growing-up,G6521
3066,stepbrother,S3163
3948,must-be-the-wind,M2313
5293,illegal-gambling,I4242
4323,lantern,L5365
4268,trying-to-sleep,T6523
3401,england,E5245
5715,deaf-parent,D1653
1597,texas-rangers,T2652
5490,rocket-launching,R2345
1014,operation,O1635
1214,lipstick,L1232
2697,jewel-thief,J431
4399,research,R262
3359,ectopic-pregnancy,E2312
4932,member-of-parliament,M5161
1576,ftm,F35
2244,comedy-writer,C5363
2453,world-trade-center-manhattan-new-york-city,W6436
1962,brother-brother-relationship,B6361
3565,cockpit,C213
5183,house-trailer,H2364
1461,delivery-man,D4165
2949,hospital-gown,H2134
4643,cyanide,C53
5055,trail-bike,T6412
4090,naugatuck-river,N2326
3831,anonymity,A53
3895,olive-oil,O414
4360,religious-symbolism,R4251
1707,guest,G23
2119,tate,T3
1386,adult-humor,A3435
5086,broken-watch,B6253
4005,traffic-accident,T6123
5942,rattlesnake,R3425
1275,bongo-drum,B5236
3709,christian-cross,C6235
1134,living-in-an-attic,L1525
2940,self-mutilation,S4153
5675,body-paint,B3153
511,homosexual-interest,H5245
5485,mars-rover-spirit,M6261
2336,colombian-drug-cartel,C4515
4161,mother's-boyfriend,M3621
513,iranian,I65
704,young-mother,Y5253
1886,skeleton-in-a-closet,S2435
135,marriage,M62
1801,bra-less,B642
3812,bad-water,B36
3157,piano-teacher,P5326
4886,animal-name-in-title,A5453
5441,allotment-garden,A4353
4253,hugging-one's-brother,H2525
5148,graffiti,G613
2006,stealing-clothing,S3452
3237,gym,G5
1140,leaky-roof,L261
1350,gerald-ford,G6431
879,breast-implant,B6235
1288,biography-episode,B2612
5428,tryst,T623
1774,virus,V62
3537,mental-illness,M5345
4314,arson,A625
543,rain-forest,R5162
2123,black-comedy,B4253
169,out-of-the-closet,O3132
1213,golf,G41
444,art-exhibition,A6321
2254,tranquilizer,T6524
186,bare-breasts,B6162
296,playing-footsie,P4521
1241,woman-leading-a-man-on,W5435
3174,arranged-dating,A6523
1968,racial-prejudice,R2416
1783,returning-character-killed-off,R3652
603,bridal-shower,B6342
767,impact,I5123
758,reference-to-zac-efron,R1652
2368,pool-of-blood,P4143
2241,writer,W636
598,traditional-cooking,T6354
5070,condom,C535
129,making-a-pass,M2521
3441,stately-home,S345
281,drug-trip,D6236
4615,future-shock,F362
1115,18-wheeler,W46
3329,anxiety,A523
4391,compass,C512
119,reference-to-the-madonna,R1652
5726,breast-cancer,B6232
3136,self-discipline,S4132
673,distraction,D2362
1035,wiccan,W25
4583,five-word-title,F1634
4307,shambhala,S514
528,soccer-ball,S2614
2856,parole-officer,P6412
2322,croatia,C63
1780,police-officer-killed,P4212
5296,kill,K4
545,river,R16
4810,westchester-ny,W2323
1697,london-england,L5352
4493,vacant-house,V2532
1283,law-firm,L165
335,sex,S2
4954,aviation-industry,A1353
1812,gasoline-company,G2452
1132,undercover-agent,U5362
1032,movie,M1
64,europe,E61
1199,red-car,R326
1557,11-year-old,Y643
1337,american-league,A5625
4740,employment-agency,E5145
2049,shot-in-the-arm,S3536
5565,self-made-woman,S4153
5467,gas-planet,G2145
5424,masked-robber,M2361
4186,electrician,E4236
3847,pendulum,P5345
1444,drunk,D652
2907,loan,L5
4,censored-profanity-in-title,C5263
3407,community,C53
2199,church,C62
1504,townhouse,T52
1432,credit-card-debt,C6326
2925,boxer-shorts,B2626
782,satire,S36
1799,bare-chested-male-bondage,B6235
4928,love-triangle,L1365
5932,falling-down-a-hill,F4523
1218,pregnancy-test,P6252
3560,tennis-racket,T5262
1246,squirrel,S264
2735,internet-research,I5365
3154,fire,F6
150,book-club,B241
1757,silencer,S4526
2002,mexican-revolutionary,M2561
4149,facial-scar,F2426
696,abandoned-baby,A1535
3285,bad-guys,B32
60,budget,B323
4495,vietnam-war-veteran,V3561
4978,file-cabinet,F4215
2174,culture-clash,C4362
1168,cheerleader-uniform,C6436
1579,scientology,S2534
275,chase,C2
61,cuisine,C25
3587,chinese-food,C5213
3887,ghost-child,G2324
5199,reference-to-zorro,R1652
781,hitlist,H3423
2206,lesbian-mother,L2153
4687,brownstone-building,B6523
5671,eating-disorder,E3523
3771,premonition,P6535
3599,nervous-guy,N612
2874,forgiveness,F6215
4923,knitting,K5352
229,father-daughter-relationship,F3632
3421,infertility,I5163
2007,telegram,T4265
5135,double-decker-bus,D1432
567,monte-carlo-grand-prix,M5326
2688,tire-print,T6165
3740,goblet,G143
1352,milwaukee-brewers,M4216
3558,parents,P6532
3627,crying,C652
4328,trapped-in-a-room,T6135
98,limp,L51
2838,niece,N2
1069,australia,A2364
2972,emergency,E5625
3819,electricity-problems,E4236
496,soap-opera,S16
4688,labrador-retriever,L1636
3679,quest,Q23
4949,aerospace,A6212
4368,watching-a-cartoon-on-tv,W3252
3036,movie-theater,M136
5373,tape-recording,T1626
3691,door-opens-by-itself,D6152
3003,poor-grade,P6263
1188,mistaken-for-gay,M2325
3884,floating-toy,F4352
4365,spring,S1652
5864,washed-up-star,W2312
1924,original-series,O6254
4082,housatonic-river,H2352
820,religion,R425
4266,television-turns-on-by-itself,T4125
3501,whodunit,W353
5551,business-empire,B2525
3179,swimming-lesson,S5242
1701,unscripted,U5261
1900,death-of-lover,D3141
4390,able-to-see-the-dead,A1432
5016,parking-garage,P6252
1476,street-artist,S3636
912,weight-loss,W2342
1423,goodwill-store,G3423
146,santa,S53
136,marriage-as-hell,M624
685,train-station,T6523
764,wildlife,W4341
3557,nosebleed,N2143
4030,ambush,A512
578,agave,A21
2232,television-network,T4125
3652,gonorrhoea,G56
3881,feeling-cold,F4524
3846,ouija-board,O2163
2595,post-impressionism,P2351
1742,m-16,M
3345,rock-concert,R2526
5141,arcade,A623
3583,spam,S15
2236,tv-network,T1536
5514,mercury-the-planet,M6263
187,body-in-a-suitcase,B3523
3258,movie-reference,M1616
4983,racial-tension,R2435
2094,water-barrel,W3616
4435,blueprint,B4165
5537,jewish,J2
2214,pastor,P236
1426,t-shirt,T263
3963,blood-on-sink,B4352
1510,atom,A35
2253,swing-state,S523
4550,young-couple,Y5214
1583,cia,C
2445,kind-human,K535
3056,slander,S4536
2751,letraset,L3623
2440,lesbianism,L2152
3103,teenage-sex,T52
3852,supervisor,S1612
3079,exchange-student,E2523
2192,post-september-11-2001,P2321
2736,post-911,P23
852,nationalism,N3542
1330,richard-nixon,R2635
1602,codex,C32
2908,locker-room,L265
526,girls'-soccer,G6426
4756,suicide-by-dynamite,S2313
2252,passing-for-black,P2521
5412,refrigerator-magnet,R1626
3584,answering-machine,A5265
4409,hudson-valley,H3251
5535,interfaith,I5361
2634,land,L53
4957,fighter,F236
3521,rural-setting,R6423
1928,arizona-territory,A6253
4414,peek-a-boo,P21
665,gold-tooth,G43
5160,essay,E2
13,code,C3
1428,ashamed,A253
5235,safe-house,S12
4262,scratch,S2632
5364,severed-arm,S1636
2992,gossip,G21
2879,flashback,F4212
4034,contact-with-the-dead,C5323
1798,arms-tied-overhead,A6523
1440,student-loan,S3534
2792,canadian-border,C5351
4522,shot-through-the-mouth,S3623
3310,super-power,S1616
5132,charity,C63
4830,marital-strife,M6342
