subject,<wasCreatedOnDate>,<hasLatitude>,<hasLongitude>,<hasMotto>
<Aarhus_Academy>,1933.0,56.105858,10.114617,
<Aarhus_Art_Academy>,1965.0,56.1575,10.202555555555556,
<Aarhus_Business_College>,1865.0,56.194075,10.204881,
<Aarhus_Educational_Centre_for_Agriculture>,2008.0,56.058614,10.200284,
<Aarhus_Katedralskole>,1195.0,56.157,10.2123,
<Aarhus_School_of_Architecture>,1965.0,56.16111111111111,10.212499999999999,
<Aarhus_School_of_Business>,1939.0,,,
<Aarhus_Tech>,1828.0,56.11373,10.112997,
<Aarhus_University>,1928.0,56.166666666666664,10.2,Solidum petit in profundis
<Aarupadai_Veedu_Medical_College>,2000.0,11.818629,79.781578,
<Aashayein_foundation>,2007.0,,,Nurturing Hopes
<Abai_Kazakh_National_Pedagogical_University>,1928.0901,43.2564,76.9538,
<Abant_Izzet_Baysal_University>,1992.0,40.7142,31.5128,
<Abasaheb_Garware_College>,1945.0,18.5117,73.8391,
<Abasyn_University>,2007.0,34.0353,71.589,
<Abbottabad_International_Medical_College>,2008.0,34.2284,73.2415,
<Abdelmalek_Essaâdi_University>,,35.562,-5.363,
<Abdou_Moumouni_University>,1974.0,13.501388888888888,2.0986111111111114,Karamin Sani Kukumi Née
"<Abdul_Malek_Ukil_Medical_College,_Noakhali>",2008.0,22.951,91.104,
<Abdul_Wali_Khan_University_Mardan>,2009.0,,,
<Abdullah_Gül_University>,2010.0721,,,Die Pionierin der Universitäten dritter Generation zu werden
<Abertay_University>,1994.0,56.46333333333334,-2.9736111111111114,
<Aberystwyth_University>,1872.0,52.41806,-4.06576,
<Abhedananda_Mahavidyalaya>,1964.0,,,
<Abhinav-Hitech_College_of_Engineering>,2002.0,,,Technology In Service Of Humanity
<Abia_State_University>,1981.0,5.8281748,7.3960036,Excellence and Service
<Abilene_Christian_University>,1906.0,32.46944444444445,-99.70805555555556,
<Abkhazian_State_University>,1979.0,,,
<Abra_Valley_Colleges>,1948.0,17.605616,120.612094,
<Abraham-Geiger-Kolleg>,1991.0,52.402,13.011,
<Abraham_Baldwin_Agricultural_College>,1908.0,31.475,-83.523,
<Abu_Dhabi_University>,2003.0,,,
<Abubakar_Tafawa_Balewa_University>,1980.0,10.3297704,9.8453553,Doctrina mater artium
<Academia_Militar_das_Agulhas_Negras>,1792.0,-22.62027777777778,-44.44944444444444,
<Academia_de_Artes>,1967.0,19.4378544,-99.1520446,élevacion por el arte
<Academic_Law_Institute>,1993.0,55.756,37.618,
<Academic_Lyceum_under_Westminster_International_University_in_Tashkent>,2008.1209,,,
<Academie_Minerva>,1798.0,,,
<Academy_at_Charlemont>,1981.0,42.619305555555556,-72.82583333333334,
<Academy_for_Jewish_Religion_(California)>,2000.0,34.0702,-118.4384,
<Academy_of_Art_University>,1929.0,37.78785,-122.40065,Built by artists for artists
"<Academy_of_Arts,_University_of_Osijek>",2004.0,45.557,18.706,
<Academy_of_Athens_(modern)>,1926.0318,37.980000000000004,23.734166666666667,
<Academy_of_Christian_Humanism_University>,1975.0,-33.4375,-70.6275,Universidad para pensar|||Universidad Privada con vocación de País
<Academy_of_Design_Australia>,1998.0,-37.82866666666667,144.94122222222222,
"<Academy_of_Dramatic_Art,_University_of_Zagreb>",1896.0,45.808611111111105,15.97,
<Academy_of_Economic_Studies_of_Moldova>,1991.0,47.031,28.8384,
<Academy_of_Engineering_Sciences>,2002.0,,,
<Academy_of_European_Law>,1992.0,,,
"<Academy_of_Fine_Arts,_Karlsruhe>",1854.0,49.01444444444444,8.387222222222222,
"<Academy_of_Fine_Arts,_Munich>",1808.0,48.153055555555554,11.580277777777777,
"<Academy_of_Fine_Arts,_Nuremberg>",1662.0,49.44648055555555,11.13623611111111,
"<Academy_of_Fine_Arts,_Prague>",1799.0,50.10276388888889,14.424577777777777,
"<Academy_of_Fine_Arts,_Umeå>",1987.0,63.82066666666667,20.274916666666666,
"<Academy_of_Fine_Arts,_University_of_Zagreb>",1907.0,45.8121,15.9624,
"<Academy_of_Fine_Arts,_Verona>",1764.0,45.4349,10.9928,
<Academy_of_Fine_Arts_In_Łódź>,1945.0,51.7886,19.4826,
<Academy_of_Fine_Arts_Vienna>,1692.0,48.20138888888889,16.36527777777778,
<Academy_of_Fine_Arts_in_Warsaw>,1932.0,52.2394481,21.0150341,
<Academy_of_Information_Technology_(Australia)>,1999.0,-33.881942,151.195257,
<Academy_of_Integrated_Christian_Studies>,2000.0,,,
<Academy_of_Interactive_Entertainment>,1996.0,-35.2409043,149.1499011,
<Academy_of_Korean_Studies>,1978.063,37.390739,127.059031,
<Academy_of_Media_Arts_Cologne>,1990.0,50.934,6.962,
"<Academy_of_Music,_University_of_Zagreb>",1921.0,45.810268,15.968429,
<Academy_of_Music_in_Kraków>,1888.0,,,Plus ratio quam vis
<Academy_of_Music_in_Łódź>,2000.0,51.77283333333333,19.448719444444446,
<Academy_of_Performing_Arts_Baden-Wuerttemberg>,2007.0,48.89388888888889,9.19111111111111,
<Academy_of_Performing_Arts_in_Bratislava>,1949.0,48.14388888888889,17.109722222222224,
<Academy_of_Performing_Arts_in_Prague>,1945.0,50.0875,14.4019,
<Academy_of_Performing_Arts_in_Sarajevo>,1981.0,,,
<Academy_of_Public_Administration_(Belarus)>,1991.0129,53.88666666666666,27.53888888888889,
<Academy_of_Saint_Andrew_-_Caloocan>,1973.0,,,
<Academy_of_San_Carlos>,1781.0,19.433086111111113,-99.12884444444444,
<Academy_of_Sciences_of_Albania>,1972.0,41.3261,19.823,
<Academy_of_Sciences_of_Moldova>,1946.0,,,
<Academy_of_Sciences_of_the_Institute_of_Bologna>,1690.0,44.4967,11.352001,
<Academy_of_Technical_Training>,2004.0,,,
<Academy_of_Technology>,2003.0,22.953108,88.377129,
<Academy_of_the_New_Church_Theological_School>,1879.0,,,
<Acadia_Divinity_College>,1968.0,45.087361111111115,-64.36466666666666,Equipping Christians to Serve
<Acadia_University>,1838.0,45.091125000000005,-64.36142777777778,In pulvere vinces
<Académie_Julian>,1867.0,48.87111111111111,2.341666666666667,
<Académie_de_Roberval>,,45.546364,-73.610522,
<Académie_internationale_Mohammed_VI_de_l'aviation_civile>,2000.0,33.3809,-7.5685,
<Accademia_Albertina>,1678.0,45.0675,7.689444444444445,
<Accademia_Italiana_Skopje>,2006.0,,,
<Accademia_Italiana_Thailand>,2006.0,,,
<Accademia_Nazionale_di_Arte_Drammatica_Silvio_D'Amico>,1936.0,41.920002777777775,12.493422222222222,
<Accademia_dei_Lincei>,1603.0,41.89333333333333,12.466666666666667,
<Accademia_di_Architettura_di_Mendrisio>,1996.0,,,
<Accademia_di_Belle_Arti_di_Bari>,,41.1108,16.8769,
<Accademia_di_Belle_Arti_di_Bologna>,1802.0,45.472,9.187897222222222,
<Accademia_di_Belle_Arti_di_Carrara>,1769.0926,44.0782,10.0992,
<Accademia_di_Belle_Arti_di_Firenze>,1563.0,43.7775,11.2592,
<Accademia_di_Belle_Arti_di_Napoli>,1752.0,,,
<Accademia_di_Belle_Arti_di_Palermo>,1780.0,,,
<Accademia_di_Belle_Arti_di_Perugia>,1573.0,,,
<Accademia_di_Belle_Arti_di_Roma>,1600.0,41.9075,12.4756,
<Accademia_di_Belle_Arti_di_Venezia>,1750.0924,45.4287,12.3305,et veteres revocavit artes
<Accademia_italiana>,1984.0,,,
<Accra_Institute_of_Technology>,2009.0,5.566111111111111,-0.2613888888888889,
<Accra_Polytechnic>,,,,Truth Excellence Service
<Acharya_Brojendra_Nath_Seal_College>,1888.0,26.32057,89.449081,
<Acharya_Girish_Chandra_Bose_College>,1964.0,22.5715,88.3664,
<Acharya_Institute_of_Technology>,2000.0,13.083386111111112,77.48401944444444,
<Acharya_Jagadish_Chandra_Bose_College>,1968.0,22.541872222222224,88.34965833333332,
<Acharya_N._G._Ranga_Agricultural_University>,1964.0612,17.32151111111111,78.40981111111111,
<Acharya_Nagarjuna_University>,1976.0,16.375322222222223,80.52858333333333,Satye sarvaṃ pratiṣṭhitam
<Acharya_Narendra_Dev_College>,1991.0,,,
<Acharya_Pathasala_Public_School>,1989.0,12.94011,77.567938,
<Acharya_Prafulla_Chandra_College>,1960.0,22.6986,88.4379,
<Acharya_Prafulla_Chandra_Ray_Polytechnic>,1962.0,22.501268,88.369372,
<Acharyakulam>,2013.0,,,Sa Prathama Sanskritirvishwawara
<Achhruram_Memorial_College>,1975.0,23.3321,86.365268,
<Achievers_University>,2007.0,7.174188,5.583249,
<Achva_Academic_College>,1971.0,31.744245,34.774046,
<Acoustics_Research_Institute>,1972.0,48.19655,16.37347,
<Acsenda_School_of_Management>,,49.287201,-123.120219,
<Acton_School_of_Business>,2002.0,30.247777777777777,-97.73305555555555,
<Actor_Prepares_-_The_School_for_Actors>,2005.0,,,
<Acıbadem_University>,2007.0,40.92527777777777,29.154444444444444,
<Acıbadem_University_School_of_Medicine>,2007.0,40.92527777777777,29.154444444444444,
<Ad-din_Womens_Medical_College>,2008.0,23.7485,90.4052,
<Adaikalamatha_College>,1988.0,10.721895,79.049689,
<Adam's_Engineering_College>,1998.0,17.6072725,80.6791588,Education for Knowledge
<Adam_Mickiewicz_University_in_Poznań>,1919.0,52.407777777777774,16.915555555555553,
<Adam_Smith_College>,2005.0,,,Inspiring Learning
<Adam_Smith_University>,1991.0,,,
<Adama_University>,1993.0,8.5644743,39.29208,
<Adamas_Institute_of_Technology>,2008.0,,,
<Adamas_University>,2014.0,22.738303,88.456591,
<Adamawa_State_University>,2002.0,10.281245,13.280169,
<Adamjee_Government_Science_College>,1961.073,,,
<Adams_State_University>,1921.0,,,Great stories begin here
<Adamson_University>,1932.062,14.586111111111112,120.98611111111111,Veritas in Caritate|||Education with a Heart|||Thee Thy Will
<Adani_Institute_of_Infrastructure_Management>,2009.09,23.15611111111111,72.54444444444444,
<Adarsh_College>,1971.0,,,
<Adarsh_Polytechnic>,2007.1018,,,Provide Technical Education to All
<Adarsha_Institute_of_Technology>,2013.0,13.14472222222222,77.36388888888888,Afffordable Quality Education
<Addis_Ababa_University>,1950.0,9.046666666666667,38.759166666666665,
<Addis_Continental_Institute_of_Public_Health>,2006.0,,,
<Adekunle_Ajasin_University>,1999.12,7.479234,5.748411,For Learning and Service
<Adelaide_College_of_Divinity>,1979.0,-34.931001,138.548599,
<Adelaide_College_of_Ministries>,1982.0,-34.87726111111111,138.6390361111111,
<Adelaide_College_of_the_Arts>,2001.0,-34.92456,138.59208,
<Adeleke_University>,,7.759951,4.462499,
<Adelphi_University>,1896.0624,40.7202,-73.6517,Vita Sine Litteris Mors Est
<Adeniran_Ogunsanya_College_of_Education>,1958.0,6.500398,3.110834,
<Adesh_University>,,30.195649,75.084454,
<Adeyemi_College_of_Education>,1964.0,7.070735,4.818358,Education for Service
<Adhiparasakthi_Engineering_College>,1984.0,12.43692,79.821983,
<Adhiyamaan_College_of_Engineering>,1987.0,12.7179,77.86986,
<Adi_Shankara_Institute_of_Engineering_Technology>,2001.0,10.179,76.4299,
<Adiban_Institute_of_Higher_Education>,2006.0,35.76861111111111,51.27916666666667,
<Adichunchanagiri_Institute_of_Technology>,1980.0,13.341361111111112,75.79677777777778,Knowledge is Power
<Adigrat_University>,2011.0,14.266666666666667,39.45,
<Adikavi_Nannaya_University>,2006.0,17.017066666666665,81.78274166666667,
<Adiong_Memorial_Polytechnic_State_College>,,7.96667,124.349999,
<Adithya_Institute_of_Technology>,2008.0,11.116085,77.036476,
<Aditi_Mahavidyalaya>,1994.0,28.795612,77.036836,Sarve Satyam Partistham
<Aditya_College>,2007.0,19.128333333333334,72.86444444444444,
<Aditya_Engineering_College>,2001.0,,,Enlightens the Nescience
"<Aditya_Nath_Jha_Government_Inter_College,_Rudrapur>",,28.967495,79.39299,
<Adler_University>,1952.0,,,
<Admas_University_College–Addis_Ababa>,1998.0,9.0235557,38.7864765,
<Admas_University_College–Garowe>,2014.03,,,
<Admas_University_College–Hargeisa>,2006.0,,,
<Administrative_Staff_College_of_India>,1956.0,17.415,78.45944444444444,
<Admiral_Makarov_National_University_of_Shipbuilding>,1920.0716,46.987908,32.002316,
<Adnan_Menderes_University>,1992.0,37.8547,27.8547,
<Adolfo_Ibáñez_University>,1953.0,,,Veritas liberabit nos
<Adrian_College>,1859.0,41.898951,-84.058424,
<Advance_TAFE>,1986.0,-37.825,147.63527777777776,
<Advanced_Academy_of_Georgia>,1995.0,,,
<Advanced_Institute_of_Industrial_Technology>,2006.0,35.60700277777778,139.7491083333333,
<Advanced_Technology_&_Education_Park>,2007.0,,,
<Advanced_Technology_College>,2001.0,29.231849,-81.098306,
<Adventist_International_Institute_of_Advanced_Studies>,1986.0,14.204338888888888,120.96792777777777,
<Adventist_University_of_Africa>,2005.0,-1.401239,36.722595,
<Adventist_University_of_Central_Africa>,1978.0,,,
<Adventist_University_of_France_–_Collonges>,1921.0,46.136944444444445,6.158055555555556,Enseigner pour servir
<Adventist_University_of_Health_Sciences>,1992.0,28.576262,-81.367611,Education avec le toucher de la guérison
<Adventist_University_of_the_Philippines>,1917.0,14.2172,121.04129999999999,On Ever Onward
<Adıyaman_University>,2006.0,37.74388888888889,38.23166666666667,
<Aegis_Global_Academy>,2010.0,,,
<Aeronautical_College_of_Bangladesh>,2008.0,23.874898,90.387425,Committed to Develop Human Resources With Changing Society
<Aeronautical_Institute_of_Bangladesh>,1999.0,,,
<Aerospace_Research_Institute>,1999.0,,,
<Afe_Babalola_University>,2009.0,7.670929,5.307051,Labor Servitum Et Integritas
<Afeka_College_of_Engineering>,1996.0,32.115046,34.817779,
<Afghanistan_Institute_of_Higher_Education>,2012.0301,,,
<Afghanistan_Public_Policy_Research_Organization>,2008.0,,,social and policy learning to benefit development and reconstruction efforts in Afghanistan
<Afghanistan_Technical_Vocational_Institute>,2007.0,34.5143694,69.137298317,Providing skill to make a living and education to make a change
<Africa_Beza_College>,2005.0,7.047875,38.477917,
<Africa_International_University>,1983.0,-1.301763,36.689759,Education with Passion and Integrity
<Africa_Nazarene_University>,1994.0,-1.401424,36.789923,
<Africa_Renewal_University>,2007.0,0.3261,32.4406,
<Africa_University>,1988.0,-18.8975,32.60111111111111,
<African_Bible_Colleges>,1976.0,,,
<African_Bible_University_(Uganda)>,2005.0,0.24055555555555555,32.56472222222222,
<African_Institute_for_Future_Studies>,1989.0,,,Futuri Scientia et Conscientia
<African_Institute_for_Mathematical_Sciences>,2003.0,-34.1072,18.4706,Building Science in Africa
<African_Methodist_Episcopal_University>,1995.0,6.31037,-10.80101,
<African_Rural_University>,2009.0,0.9422222222222222,30.819444444444443,
<African_School_of_Economics>,2014.0,,,
<African_University_College_of_Communications>,2002.0,5.558098,-0.211731,Discover Yourself From Here
<Aga_Khan_University>,1983.0,24.8928,67.0747,
"<Agape_College_(Little_Rock,_Arkansas)>",1983.0,34.76105,-92.41131,
<Agartala_Government_Medical_College>,2005.0801,,,
<Agharkar_Research_Institute>,1946.0,,,
<Aghorekamini_Prakashchandra_Mahavidyalaya>,1959.0,,,
<Agnel_Polytechnic>,1994.0,19.077369444444443,72.99126111111111,Wisdom is knowing what to do next
<Agnes_Scott_College>,1889.0,33.77016,-84.29325,
<Agni_College>,2001.0,,,
"<Agnus_Dei_School_Systems,_Inc.>",1987.0,,,Affordable Quality Education for the Youth
<Agora_University>,2000.0,47.048562,21.951542,
<Agostinho_Neto_University>,1979.0,-8.941944444444445,13.280277777777778,
<Agra_College>,1823.0,27.1871,78.0037,
<Agrabad_Mohila_College>,1988.0212,22.3252,91.7998,
<Agricultural_Cooperative_College>,1962.0,37.658751,126.873035,
<Agricultural_State_University_of_Moldova>,1933.0,47.062,28.809,
<Agricultural_University_of_Athens>,1920.0,37.98388888888889,23.705555555555556,
<Agricultural_University_of_Berlin>,1881.0214,52.5297,13.37822,
<Agricultural_University_of_Havana>,,22.998333333333335,-82.14861111111112,
<Agricultural_University_of_Iceland>,2005.0,64.5611111111111,-21.76972222222222,
<Agricultural_University_of_Kraków>,1890.0,50.06444444444444,19.925833333333333,
<Agricultural_University_of_Tirana>,1951.1101,41.36222222222222,19.77111111111111,
<Agro_ParisTech>,2007.0,48.83972222222222,2.3483333333333336,
<Agrocampus_Ouest>,2008.0,48.1135,-1.7064,
"<Agromediterranean_Faculty,_University_Džemal_Bijedić_of_Mostar>",1997.0,,,
<Agropolis_International>,1986.0,43.645833333333336,3.8708333333333336,
<Agusan_del_Sur_College>,1966.0,,,
<Ahfad_University_for_Women>,1966.0,15.6447855,32.4715197,
<Ahi_Evran_University>,2006.0,,,
<Ahir_College_Rewari>,1945.0,28.193333333333335,76.60722222222222,
<Ahlia_University>,2001.0,26.2359,50.593,
<Ahmadu_Bello_University>,1962.1004,11.066666666666666,7.7,
<Ahmedabad_Management_Association>,,23.029722222222222,72.54138888888889,
<Ahmedabad_Textile_Industry's_Research_Association>,1947.0,23.03222222222222,72.54083333333332,
<Ahmedabad_University>,2009.0,23.039,72.556,
<Ahmet_Yesevi_University>,1993.0,43.28916666666667,68.30111111111111,
<Ahram_Canadian_University>,2005.1,29.935277777777777,30.88277777777778,
<Ahsan-Ul-Uloom>,1978.0,,,
<Ahvaz_Jundishapur_University_of_Medical_Sciences>,1955.0,,,
<Aichi_Bunkyo_University>,1998.0,,,
<Aichi_Bunkyo_Women's_College>,1951.0,35.25530555555556,136.78858333333332,
<Aichi_Gakuin_University>,1876.0,,,
<Aichi_Gakusen_College>,1950.0,34.97222222222222,137.14388888888888,
<Aichi_Gakusen_University>,1966.0,,,
<Aichi_Institute_of_Technology>,1912.0,35.1836,137.1119,
<Aichi_Junior_College>,1950.0,,,
<Aichi_Kiwami_College_of_Nursing>,2004.0,35.3167,136.8111,
<Aichi_Konan_College>,1970.0,35.3564,136.8807,
<Aichi_Medical_University>,1971.0,35.1925,137.0474,
<Aichi_Mizuho_College>,1940.0,35.125209,137.18791,
<Aichi_Mizuho_Junior_College>,1950.0,35.12722222222222,136.92194444444445,
<Aichi_Prefectural_College_of_Nursing_&_Health>,1995.0,35.283455555555555,136.92915833333333,
<Aichi_Prefectural_University>,1947.0,35.182,137.087,
<Aichi_Prefectural_University_of_the_Arts>,1966.0,35.169444444444444,137.069625,
<Aichi_Sangyo_University>,1948.0,34.921,137.223,
<Aichi_Sangyo_University_Junior_College>,1986.0,34.92049166666666,137.22216666666668,
<Aichi_Shinshiro_Otani_University>,1999.0,34.9136,137.5345,
<Aichi_Shukutoku_Junior_College>,1961.0,35.160063888888885,137.00447222222223,
<Aichi_Shukutoku_University>,1905.0,35.1574,137.0316,違いを共に生きる
<Aichi_Toho_University>,2001.0,35.1701,136.9869,
<Aichi_University>,1901.0,,,
<Aichi_University_of_Education>,1873.0,35.1201,137.0020027777778,
<Aichi_University_of_Technology>,1987.0,34.832,137.1936,
<Aichi_University_of_Technology_Automotive_Junior_College>,1987.0,35.84224444444445,139.80439722222224,
<Aiken_Technical_College>,1972.0,33.53444444444444,-81.84222222222222,
<Aikoku_Gakuen_University>,1938.0,35.665974999999996,140.16168333333334,
<Aims_Community_College>,1967.0124,40.41178,-104.764316,
<Ain_Shams_University>,1950.07,30.077022222222222,31.285016666666667,
<Ain_Shams_University_Faculty_of_Medicine>,1928.0,30.075928,31.281214,
<Aino_College>,1985.0,34.84319722222222,135.58016666666666,
<Air_Force_Engineering_University>,1959.0,34.273779,109.036171,
<Air_Force_Institute_of_Technology>,1919.0,39.783,-84.083,
"<Air_Force_Technical_College,_Bangalore>",1949.0704,13.051677777777778,77.52122777777778,GYANEN SHOBHAMAHE
<Air_University_(Islamabad)>,2002.0,,,Taking Academic Excellence To New Heights
<Air_University_Multan_Campus_-_AUMC>,2011.0,,,Taking Academic Excellence To New Heights
<Air_War_College>,1946.0,,,
<Airlangga_University>,1954.0,-7.2716666666666665,112.75805555555556,Excellence with Morality
<Airlink_International_Aviation_School>,1982.0,14.520555555555557,121.00138888888888,
<Aitken_House>,1958.0,45.946555555555555,-66.64046944444445,In Magni Nominis Umbra
<Aix-Marseille_University>,1409.0,43.29352222222222,5.357916666666666,
<Aix-Marseille_University_Faculty_of_Sciences>,2012.0,,,
<Aizawl_Theological_College>,1907.0,23.7616,92.735,Service to God and Humankind
<Ajay_Binay_Institute_of_Technology>,1998.0,20.469606,85.851567,
<Ajay_Kumar_Garg_Engineering_College>,1998.0,28.6773,77.5018,
<Ajayi_Crowther_University>,2005.0,,,Scentia Probitas
<Ajeenkya_DY_Patil_University>,2015.0,,,
<Ajloun_National_Private_University>,2008.0,,,
<Ajman_University_(AU)>,1988.0,25.41222222222222,55.50666666666667,
<Ajou_University>,1973.0,37.282913,127.04607,
<Akademia_Lospuma_Training_Institute>,2012.0,50.259166666666665,19.04416666666667,
<Akaki_Tsereteli_State_University>,1930.0,,,
<Akal_University>,2015.0,29.970283,75.087853,
<Akatsi_College_of_Education>,1963.1001,6.125585,0.8018025,
<Akdeniz_University>,1982.072,36.895,30.6511,
<Akenohoshi_Women's_Junior_College>,1971.0,,,
<Akershus_University_College>,1994.0801,59.97510555555556,11.048675,
<Akita_International_University>,2004.0,39.6275,140.1977777777778,Be a Leader in the Global Society
<Akita_Nutrition_Junior_College>,1953.0,39.71608333333334,140.15661111111112,truth harmonization and practical science
<Akita_Prefectural_University>,1999.0,39.39333333333333,140.07305555555556,
<Akita_University>,1949.0,,,
<Akita_University_of_Art>,2013.0,39.686499999999995,140.09082222222224,
<Aklan_Catholic_College>,1945.0,11.710504,122.363058,Pro Deo Et Patria
<Aklan_Polytechnic_College>,1986.0,11.596816666666667,122.75515277777778,
<Aklan_State_University>,1917.0,11.638333333333334,122.33388888888888,Academic Pillar of Excellence for Sustainable Development
<Aksaray_University>,2006.0,38.326,33.9761,
<Aksheyaa_College_of_Engineering>,2007.0,,,
<Akula_Sree_Ramulu_College_of_Engineering>,1998.0,16.76353611111111,81.65974722222222,
<Al-Ahliyya_Amman_University>,1989.0,,,
<Al-Ameen_College_of_Education>,1990.0,,,
<Al-Ameen_College_of_Law>,1988.0,12.9544,77.5868,LORD GIVE UNTO ME MORE KNOWLEDGE
<Al-Ameen_College_of_Pharmacy>,1983.0,12.9542,77.5866,
<Al-Ameen_Engineering_College>,2003.0,,,Empowering Education For The Future
<Al-Ameen_Institute_of_Management_Studies>,1994.0,,,
<Al-Ameen_Medical_College>,1984.0,16.8258,75.6688,
<Al-Ameen_Pre_University_College>,2001.0,12.9533,77.5874,
<Al-Andalus_University_for_Medical_Sciences>,2005.0,,,
<Al-Aqsa_University>,2000.0,31.483600000000003,34.445544444444444,
<Al-Arab_Medical_University>,1984.0,,,
<Al-Assad_Military_Academy>,,36.18138888888889,37.09444444444445,
<Al-Azhar_University>,970.0,30.045833333333334,31.2625,
<Al-Azhar_University_–_Gaza>,1991.0,31.515,34.43666666666666,
<Al-Baath_University>,1979.0914,34.71277777777778,36.70861111111111,طريقك الى مستقبل مشرف
<Al-Balqa\u0060_Applied_University>,1997.0,32.0240693,35.71676279999997,
<Al-Beroni_University>,1998.0,35.12683333333334,69.31758333333333,Excellence in education to Afghanistan
<Al-Farabi_Kazakh_National_University>,1934.0,43.2525,76.92666666666668,
<Al-Farook_Educational_Centre>,1990.0,11.19653,75.85793,
<Al-Furat_University>,2006.0,35.31888888888889,40.11055555555556,
<Al-Hadba'a_University_College>,1994.0,,,
<Al-Hikma_University_(Baghdad)>,1956.0,,,
