id,title,kind_id,production_year,episode_nr
640,Sell the House,7,2010.0,25.0
4740,15 sai no burûsu,2,2005.0,
4250,Target 802,7,1965.0,15.0
3070,(#1.6),7,,6.0
5300,Honor Thy Father,7,2001.0,5.0
517,Geld maakt niet gelukkig,7,1995.0,12.0
3596,Black Humor,7,2005.0,29.0
3280,101 Guiltiest Guilty Pleasures,2,2006.0,
1347,(#1.5),7,2006.0,5.0
4019,Kamen no bishô,7,2009.0,4.0
647,Speed Bumps,7,2008.0,1.0
4244,Runway in the Dark,7,1965.0,8.0
381,Every Hoe Have Him Stick,7,2007.0,6.0
3138,(#2.55),7,2008.0,55.0
5087,Duggars at the Doctor,7,2009.0,16.0
2824,Kaneto Shindô,7,2011.0,
5512,Game 3,7,1949.0,
3024,Ready or Not Here Comes Death,7,2011.0,3.0
3292,(#1.16),7,2007.0,16.0
1963,(2011-11-05),7,2011.0,
3989,(#1.7),7,2013.0,7.0
4605,Znachorzy,7,2000.0,15.0
507,Drie gouden regels,7,1997.0,5.0
5697,Game 5,7,1971.0,5.0
3344,(2000-11-18),7,2000.0,
1297,(#3.4),7,2011.0,4.0
5908,1984 NBA Eastern Conference Finals,2,1984.0,
5945,Game 1,7,1986.0,
1739,Side Swap,7,2010.0,12.0
315,Hitler's Last Heil,7,1992.0,3.0
3553,(#1.1),7,2009.0,1.0
766,(2005-06-04),7,2005.0,
2103,Back on Track,7,2005.0,14.0
1604,M.I.A.,7,2003.0,9.0
4102,Especial de vikingos,7,2010.0,36.0
2605,Hour 4,7,2010.0,
2228,Soccer Mom to Soccer Bomb!,7,2008.0,54.0
3765,The Big Shilling,7,1991.0,10.0
2835,(#1.1),7,2004.0,1.0
385,Honesty the Best Policy?,7,2009.0,7.0
411,No Sleep 'Til Wembley,7,2001.0,3.0
2647,(#5.6),7,2007.0,6.0
2206,Picture Perfect,7,2005.0,35.0
2316,Carnaval,7,2012.0,60.0
204,Kate and Company,7,2009.0,4.0
2447,"Anna Grows as a More Loving and Appreciative Person, But Will It Be Too Late?",7,2011.0,62.0
5937,Game 1,7,1986.0,
4308,Spider,7,2005.0,4.0
1989,(2012-08-11),7,2012.0,
1747,The New Addition,7,2009.0,8.0
5155,Josie Duggar Sisterhood,7,2010.0,11.0
5757,Game 1,7,1975.0,
5821,Game 4,7,1979.0,
1634,(#1.76),7,,76.0
5727,Game 1,7,1973.0,
1848,(2005-12-11),7,2005.0,
2778,1991 - Putsch in Moskau,7,1999.0,2.0
286,A Fishy Sendoff,7,1992.0,5.0
486,Blut en gewetenloos,7,2000.0,2.0
3910,(#1.34),7,2008.0,34.0
1117,"Anohi, Tashika ni kare to ita",7,2009.0,15.0
1307,(#4.10),7,2012.0,10.0
2505,Kevin Believes That Bart Is Good Enough to Be Friends with His Sister,7,2011.0,69.0
4476,Res és com era,7,2008.0,6.0
5456,(2011-07-03),7,2011.0,
1613,Pop Star,7,2004.0,10.0
2985,Extinguished,7,2012.0,
2267,A New Beginning,7,2010.0,12.0
42,The Teenage Daughter,7,2011.0,7.0
5864,Game 2,7,1982.0,
4432,It Works Every Time,7,2011.0,7.0
1752,This Kitchen's Gotta Go,7,2011.0,12.0
791,(2008-05-17),7,2008.0,
5176,"Smile and Say, Duggars!",7,2012.0,6.0
3408,(2005-07-26),7,2005.0,
3603,Emmoni,7,2006.0,4.0
3593,As opsete i Voula,7,2007.0,20.0
4298,Hired,7,2005.0,1.0
1291,(#3.34),7,2012.0,34.0
662,The Ex-Factor,7,2009.0,6.0
3504,Fantasia in the Building,7,2006.0,
1611,Phoenix Rising,7,2005.0,16.0
2115,Changing for the Better,7,2005.0,45.0
3505,Freedom Writers Preview,7,2007.0,
82,$100 Taxi Ride,2,2001.0,
5565,Game 2,7,1957.0,
3462,(2011-05-17),7,2011.0,
1001,'Der Prozeß' bei Theaterformen 2009,7,2009.0,
3604,En lefko,7,2006.0,30.0
1243,(#2.27),7,2011.0,27.0
3438,(2010-02-16),7,2010.0,
5968,Game 1,7,1988.0,
4408,The Young Ones (Bennebroek),7,1996.0,
3118,(#2.35),7,2007.0,35.0
3274,Morbid Much,7,2010.0,7.0
706,"Mala Branca, Mala Preta",7,2012.0,12.0
2816,Part 2,7,2011.0,
3238,Market Mayhem/Lucky to Be Alone,7,1997.0,8.0
129,Boston,7,2003.0,6.0
4360,Het feest (Laren),7,1995.0,
2551,Will Bobby and Miranda Finally Discover the Identity of the True Heir of The Toy Company?,7,2011.0,96.0
624,Joy Ride,7,2008.0,2.0
4834,Racket Strings and Vanity Mirrors,7,2005.0,18.0
5881,1983 American League Championship Series,2,1983.0,
1475,(#1.19),7,,19.0
4979,De voetbalwedstrijd,7,2006.0,7.0
2015,Unfriend,7,2012.0,1.0
4103,Especial del lejano Oeste,7,2011.0,2.0
997,(1992-03-09),7,1992.0,
3298,(#1.6),7,2007.0,6.0
5799,Game 2,7,1977.0,
1448,(#1.8),7,2007.0,8.0
1169,Kassie DePaiva,7,2005.0,7.0
959,The Eve,7,2002.0,23.0
3733,Mangetout,7,1996.0,4.0
4420,Wat een dag (Oegstgeest),7,1997.0,
1924,(#3.21),7,,21.0
4663,(#1.2),7,2012.0,2.0
4099,Especial de Salvavidas,7,2011.0,25.0
5887,Game 1,7,1983.0,
3389,(2005-05-25),7,2005.0,
171,"Paris, France",7,2002.0,15.0
2058,Benjamin Franklin,7,2012.0,1.0
5379,18th Annual American Century Championship,2,2007.0,
5148,Hunting and House Guests,7,2012.0,
3571,Latitude et attitude,7,2010.0,
4215,Back to the Drawing Board,7,1966.0,21.0
192,"Tuscany, Italy",7,2002.0,20.0
3610,Epistrofi,7,2006.0,16.0
2368,Segunda juventud,7,2011.0,7.0
1002,10 Jahre AWO rennt,7,2008.0,
4490,The Black Hand,7,,
5785,(#1.3),7,1976.0,3.0
2325,Derechos,7,2011.0,37.0
627,Let's Go,7,2010.0,33.0
5885,Game 4,7,1983.0,
2885,(2001-06-22),7,2001.0,
3385,(2005-05-16),7,2005.0,
4566,13 posterunek 2,2,2000.0,
5928,1985 National League Championship Series,2,1985.0,
56,Family Dinner for Schmucks,7,2010.0,11.0
980,Dasshutsu,7,2006.0,11.0
5070,Duggar in Danger,7,2011.0,5.0
1960,(2011-10-17),7,2011.0,
2900,(2002-06-08),7,2002.0,
419,'t Schaep Met De 5 Pooten,2,1969.0,
3653,Pliromi,7,2005.0,13.0
1420,(#1.11),7,2007.0,11.0
2440,Anna Discovers Who Her Real Daughter Is,7,2011.0,89.0
5065,Duggar Dilemmas,7,2010.0,1.0
5313,Second Sense,7,2001.0,21.0
5700,1972 American League Championship Series,2,1972.0,
3819,(#1.6),7,,6.0
5562,Game 7,7,1956.0,
3272,"Girl, Serenaded",7,2010.0,8.0
339,The Bank Job,7,1988.0,13.0
2772,1986 - Die Challenger-Tragödie,7,1999.0,6.0
273,(#1.1),7,1979.0,1.0
526,Het hondje,7,1994.0,5.0
3503,DJ Pro Style Is Back in the House,7,2007.0,
2078,(#5.3),7,2008.0,3.0
4725,(#1.7),7,2011.0,7.0
3972,Martin und Driesen landen im Bett,7,2008.0,60.0
2911,100% mujer,2,2003.0,
3646,Oikogeneiaki giorti,7,2005.0,9.0
3866,(2004-04-12),7,2004.0,
2150,Getting Back to Hog Heaven,7,2008.0,28.0
2114,Bringing Out the Spunk,7,2005.0,31.0
4562,(2011-07-06),7,2011.0,
872,"Bretter, die die Welt bedeuten",7,1985.0,12.0
5098,Duggars Fly the Coop,7,2009.0,22.0
3492,Bone Thugs and Harmony New Joint,7,2007.0,
2725,1943 - Der Junge von Warschau,7,1999.0,7.0
2334,El poema,7,2012.0,52.0
1138,"Yami no tsubasa no kenzoku wa, fukô o matoi, maioriru",7,2009.0,17.0
3445,(2010-11-12),7,2010.0,
4339,De vingerwijzing van Osiris (Monnickendam),7,1993.0,
1615,Resurrection,7,2004.0,4.0
1690,Bye Bye Green Monster,7,2009.0,5.0
4342,Een Afrikaan in Marken,7,1996.0,
3826,(#1.3),7,2011.0,3.0
1570,1-2-3 Moskau!,2,2008.0,
5038,A Very Duggar Wedding,7,2009.0,2.0
5266,Hanging Pictures,7,2010.0,7.0
4980,Drugs,7,2006.0,10.0
3775,The King of Discount,7,1999.0,5.0
5356,(#1.1),7,,1.0
5463,1915,2,1982.0,
4650,Zmory z przeszlosci,7,1998.0,32.0
4505,So This Is How It's Gonna Be,7,1990.0,6.0
2163,High Flying Look,7,2005.0,15.0
5215,Du bonheur nuptial et de ses révélations inattendues,7,2010.0,6.0
3196,Party Over Where? Party Over Here!,7,2008.0,
1791,Markiisi de Sade: Justine,7,2007.0,6.0
2600,100 Greatest Albums of Rock & Roll,2,2000.0,
4108,Especial playero,7,2010.0,
2771,1986 - Der Super-Gau von Tschernobyl,7,1999.0,7.0
1056,MobiliTec 2013,7,2013.0,7.0
32,Mute for Murder,7,2011.0,2.0
2582,Matchmaking Mutt,7,2001.0,6.0
5519,Game 4,7,1950.0,
387,Looks Can Be Revealing,7,2009.0,2.0
1329,(#4.8),7,2012.0,8.0
2554,Will Sophia's Threat to Leave the Company Work on the Executives?,7,2011.0,35.0
4772,(#1.9),7,2011.0,9.0
2633,100 Greatest Songs of the 00s,7,2011.0,4.0
3588,Anepithymitos,7,2006.0,34.0
5540,Game 5,7,1953.0,
1900,(#1.11),7,,11.0
4329,Come-back (Den Haag),7,1993.0,
1206,(#1.25),7,2010.0,25.0
2326,Día de Reyes,7,2012.0,42.0
2757,1972 - Das Massaker von München,7,1999.0,4.0
5400,(#2.6),7,2013.0,6.0
4169,"A Great Distance in the Wind, the Sky at Dawn: The Final Chapter",7,2003.0,39.0
3421,(2005-10-13),7,2005.0,
668,The Not-So-Perfect Couple,7,2010.0,10.0
1882,(#2.10),7,2012.0,10.0
4790,Mergullados,7,2012.0,11.0
707,Nu com a Mãe no Bolso,7,2012.0,7.0
5430,(2010-12-12),7,2010.0,
1059,Mühlentag 2008,7,2008.0,
4355,Geslaagd (Soest),7,1991.0,
4268,The Men and the Boys,7,1964.0,3.0
961,Unison,7,2003.0,28.0
586,Pilot,7,2006.0,
5779,Game 1,7,1976.0,
5164,Music with the Duggars,7,2012.0,
3961,Ein Unglück jagt das nächste,7,2008.0,43.0
5507,Game 5,7,1948.0,
4172,"Sea God of the East, Azure Sea of the West: Part 1",7,2003.0,41.0
2852,Are You Open Minded?,7,2010.0,2.0
3351,(2002-03-22),7,2002.0,
1617,Sisterhood,7,2005.0,12.0
2021,Kentucky Derby,7,2004.0,4.0
66,Who's Your Daddy?,7,2011.0,18.0
783,(2008-03-15),7,2008.0,
3314,Opposites Attract,7,2013.0,7.0
567,Voetbal is oorlog,7,1995.0,3.0
4906,Megan,7,2010.0,18.0
3615,Horis epistrofi,7,2004.0,4.0
4394,Park Stop,7,1991.0,
3662,Skoteini thalassa,7,2005.0,3.0
2834,100 Proof,2,2004.0,
3684,4.45,7,2000.0,2.0
4076,Especial de fantasias,7,2010.0,26.0
133,"Chattanooga, Tennessee",7,2004.0,7.0
3329,101-kai me no puropozu,2,1991.0,
1101,Major opóznia akcje,7,1976.0,1.0
2159,"Hair Today, Gone Tomorrow",7,2005.0,13.0
588,The Airplane Murder,7,2007.0,3.0
1578,A Death in the Family,7,2005.0,13.0
380,Empty Bag Can't Stand Up,7,2007.0,4.0
5322,The Interrogation,7,2001.0,22.0
4758,15 vimata,2,1983.0,
1376,(#1.6),7,2010.0,6.0
4463,"Digui'm, dígame",7,2009.0,11.0
4168,"A Great Distance in the Wind, the Sky at Dawn: Reminiscence Chapter",7,2003.0,31.0
4811,Curve Balls: Part 1,7,2005.0,13.0
892,Alimente,7,1995.0,3.0
394,Playing Social,7,2009.0,4.0
173,Philadelphia,7,2003.0,24.0
1443,(#1.33),7,2007.0,33.0
5114,Duggars Meet Dolly,7,2009.0,4.0
5972,1988 National League Championship Series,2,1988.0,
5291,"Come Back, Little Diva",7,2001.0,13.0
4816,Fixed Doubles,7,2005.0,2.0
691,The Croaker,7,1961.0,6.0
2895,(2002-05-04),7,2002.0,
3500,Diddy and Doug E Fresh in the Building,7,2007.0,
4559,(2011-02-22),7,2011.0,
4988,Roet in het eten,7,2006.0,19.0
1608,One Night Stand,7,2004.0,2.0
3358,(2005-02-03),7,2005.0,
2700,1920 - Die große Prohibition,7,1999.0,1.0
4889,Jenelle,7,2010.0,1.0
162,Napa,7,2002.0,1.0
1452,(#2.11),7,,11.0
625,Joy's Mom,7,2010.0,23.0
5394,(#2.1),7,2013.0,1.0
2490,Diana Does Her Best to Be Tikoy's Mom,7,2011.0,77.0
456,Patrick,7,2010.0,2.0
3115,(#2.32),7,2007.0,32.0
2088,A Knockout Makeover,7,2008.0,24.0
1876,(#1.5),7,2011.0,5.0
5102,Duggars Go Wild,7,2010.0,18.0
3059,Wreck the Halls,7,2012.0,
5542,1954 World Series,2,1954.0,
4210,A Distant Cry,7,1966.0,5.0
1889,(#2.8),7,2012.0,8.0
344,The Crooked Fences,7,1989.0,6.0
2405,Love Stories,7,2001.0,3.0
3319,The Morning After,7,2013.0,2.0
968,Kaito no udewa,7,2003.0,2.0
1526,Melinda Munroe,7,2010.0,29.0
5200,(2005-02-17),7,2005.0,
1904,(#1.2),7,,2.0
3005,"It's a Dead, Dead, Dead World",7,2012.0,7.0
4993,Bursting the Bubble,7,2013.0,12.0
903,..1..2..3 rul!,2,2000.0,
1188,1 Girl 5 Gays,2,2009.0,
2850,Udo Lindenberg,7,2005.0,2.0
3017,Pariah Carey,7,2012.0,
3160,(#3.78),7,2008.0,78.0
3173,Season Finale,7,2008.0,66.0
5022,17 Kids and Counting,2,2008.0,
1624,Ties That Bind,7,2003.0,8.0
1814,Maria Jotuni: novellit,7,2011.0,2.0
4149,1943: Totaler Krieg und Feuersturm,7,,11.0
4397,Prettig weekend (Alkmaar),7,1996.0,
1576,1-800-Missing,2,2003.0,
2009,Breakdowns,7,2011.0,5.0
2598,You Talk Too Much,7,2001.0,11.0
2348,Mal pero mal,7,2011.0,24.0
5136,Duggars Under the Sea,7,2011.0,6.0
5245,Lesben und andere Lügen,7,2007.0,4.0
3672,To lathos,7,2005.0,23.0
5258,18 to Life,2,2010.0,
1598,John Doe,7,2005.0,15.0
4217,Big Brother,7,1965.0,5.0
1431,(#1.21),7,2007.0,21.0
2534,Sophia Must Face the Horrors in Her Office,7,2011.0,98.0
1807,10 kirjaa rahasta,2,2011.0,
1140,077 hizir - Acil servis,2,1988.0,
3927,(#1.70),7,2008.0,70.0
4341,Doornroosje (Terneuzen),7,1991.0,
4106,Especial epoca de arabe,7,2010.0,28.0
1134,Tada hitasuna naru inori no hate ni,7,2009.0,4.0
5628,Game 2,7,1965.0,
666,The Joy of Learning,7,2010.0,35.0
5488,(2011-03-05),7,2011.0,
4716,(#1.10),7,2011.0,10.0
5687,1971 National League Championship Series,2,1971.0,
4321,Belemmering (Almelo),7,1991.0,
3439,(2010-04-20),7,2010.0,
3326,"You Fuse, You Lose",7,2011.0,1.0
5364,(#1.9),7,2005.0,9.0
5469,Seán Mac Diarmada,7,2010.0,5.0
4999,Meet the Parent,7,2013.0,4.0
432,Amsterdams parfum,7,2009.0,8.0
5431,(2010-12-19),7,2010.0,
3337,Kon'yaku,7,1991.0,6.0
1390,(#1.1),7,2008.0,1.0
4962,(#3.19),7,2008.0,19.0
1086,Tour durch Linden mit Sid Auffarth,7,2007.0,
5202,(2005-03-14),7,2005.0,
5889,Game 3,7,1983.0,
3682,10vor10,2,1990.0,
3071,Bike Gear: Demystified,7,2009.0,2.0
2016,10 Seconds,2,1993.0,
4230,Golden Boy Had Nine Black Sheep,7,1964.0,1.0
712,(#1.2),7,2010.0,2.0
4390,Op reis (Uitdam),7,1998.0,
123,"Ashland, OR",7,2005.0,18.0
2463,Anna Tells Eloy That There Are Things in Life That You Just Have to Accept,7,2011.0,73.0
1675,These Things Are Always Chaos,7,2008.0,3.0
3468,(2011-05-25),7,2011.0,
189,"Telluride, Colorado",7,2004.0,10.0
2726,1943 - Entscheidung Stalingrad,7,1999.0,6.0
5272,"Like Father, Like Son's Best Friend",7,2011.0,11.0
4485,Condemned in Crystal,7,,
3539,Throw Some D's on 106,7,2006.0,
2792,Las Vías Del Amor vs Mujer de Madera,7,2005.0,10.0
3216,"Dalmatian Vacation, Part 3: Dearly Beloved",7,1998.0,52.0
2930,1000 seconden,2,2003.0,
3824,(#1.1),7,2011.0,1.0
40,The Diary,7,2011.0,10.0
362,The Nicked Knockwurst,7,1986.0,1.0
2160,Hairnet to Hottie,7,2005.0,19.0
3912,(#1.36),7,2008.0,36.0
1994,(2012-11-10),7,2012.0,
3249,Shrewzie Watch/The Life You Save,7,1997.0,22.0
1042,Kinos am Raschplatz - Wiedereröfnung,7,2010.0,
5919,1985 American League Championship Series,2,1985.0,
5180,Testy Duggars,7,2010.0,7.0
1716,"I Am Woman, Watch Me Saw",7,2010.0,8.0
428,We benne op de wereld om mekaar te helpen nietwaar?,7,1969.0,1.0
2597,Whistle a Happy Tune,7,2001.0,10.0
1692,Code-Blue Bathroom,7,2009.0,7.0
752,+ Clair,2,2001.0,
970,Kyofu no yakata,7,2003.0,5.0
2594,Teacher's Pet Peeve,7,2002.0,6.0
639,Secret Meatball,7,2008.0,7.0
2882,(2001-05-25),7,2001.0,
5246,Liebe und Triebe,7,2007.0,7.0
1671,Blowback,7,2008.0,5.0
30,Life Alarm,7,2011.0,8.0
927,Tragedy,7,2006.0,13.0
4085,Especial de Hombres,7,2011.0,3.0
4333,De eersten zullen de laatste zijn (Vleuten),7,1993.0,
2279,10-07: L'affaire Kafka,2,1996.0,
463,'t Zal je gebeuren...,2,1998.0,
3010,Life Will Kill You,7,2008.0,1.0
2853,Are You Romantic?,7,2010.0,3.0
4482,13 Demon Street,2,1959.0,
5886,1983 National League Championship Series,2,1983.0,
3411,(2005-08-15),7,2005.0,
4310,Surgery Circus,7,2006.0,2.0
5735,Game 3,7,1973.0,3.0
4054,(2009-01-16),7,2009.0,
4155,"A Great Distance in the Wind, the Sky at Dawn: Part 11",7,2003.0,34.0
1553,Australia,7,2007.0,5.0
1058,Musik-Kulturfest in Hannover-Linden,7,2011.0,
1344,(#1.2),7,,2.0
1515,Juliana Patel,7,2011.0,35.0
2474,Bart Breaks Up with Jessica and Follows His Heart,7,2011.0,81.0
1933,(#3.6),7,,6.0
2735,1953 - Die Krönung,7,1999.0,7.0
4233,Here's to Courageous Cowards,7,1964.0,11.0
1561,Mexico,7,2007.0,11.0
473,Aflevering 56,7,1998.0,5.0
1172,Matthew Ashford,7,2004.0,5.0
5557,Game 2,7,1956.0,
5432,(2010-12-26),7,2010.0,
2960,Death by Netti Pot,7,2012.0,
531,Het meesterwerk,7,1995.0,7.0
116,(#1.2),7,2004.0,2.0
1036,Jazz am Ballhof 2,7,2009.0,
2365,Rivalidad 3,7,2012.0,59.0
1211,(#1.3),7,2009.0,3.0
862,(#1.2),7,1971.0,2.0
5944,1986 National League Championship Series,2,1986.0,
4911,Reunion,7,2011.0,
2870,1980-1990: Fattig-firserne eller forandrings-firserne,7,1997.0,9.0
5033,A Duggar in the Rough,7,2009.0,5.0
5006,1628,2,1991.0,
5067,Duggar Growing Pains,7,2012.0,
595,Time Capsule Murder,7,2007.0,5.0
5998,(#1.14),7,1965.0,14.0
2868,1960-1970: Hvad du ønsker skal du få,7,1997.0,7.0
1115,"Ainakimono no seigi wa izuko ni.... Yami ni ubawareshi kokoroyo, eien ni...",7,2009.0,24.0
1806,Viisikko aarresaarella,7,2008.0,5.0
2371,Solo,7,2011.0,1.0
5249,Vaterschaften,7,2004.0,8.0
2372,Star Bars,7,2012.0,57.0
255,Madison Avenue,7,,6.0
744,(#2.4),7,2009.0,4.0
5158,Josie Duggar's First Hug,7,2010.0,7.0
2093,Adopting a New Look,7,2005.0,40.0
5719,Game 7,7,1972.0,
1215,(#1.33),7,2010.0,33.0
4721,(#1.3),7,2011.0,3.0
4703,A Lesson in Terror,7,2009.0,5.0
4655,No Room at the Top,7,1979.0,3.0
2079,10 Years Younger,2,2004.0,
2855,Have You Ever Had a One-Night Stand?,7,2010.0,6.0
4117,Swing Theme,7,2010.0,
3194,I'm Just Here for the Sex,7,2008.0,
4291,Booger Haze,7,2006.0,3.0
584,Funeral Parlor Murder,7,2007.0,1.0
2747,1963 - Der Jahrhundert-Mord,7,1999.0,7.0
2054,Volcanoes,7,2006.0,1.0
3641,O kalyteros mou filos,7,2005.0,26.0
786,(2008-04-05),7,2008.0,
3714,Forgotten Pilots: The Air Transport Auxillary (ATA) 1939-1946,7,1999.0,9.0
1314,(#4.17),7,2013.0,17.0
1879,(#1.8),7,2011.0,8.0
1797,Hannu ja Kerttu,7,2008.0,3.0
3842,Night Visitors,7,2005.0,5.0
1372,(#1.2),7,2010.0,2.0
2094,Age Defense,7,2005.0,51.0
2367,San Valentín,7,2012.0,58.0
4658,The Lift,7,1979.0,9.0
1614,Puzzle Box,7,2004.0,9.0
4916,Valerie,7,,3.0
5967,1988 American League Championship Series,2,1988.0,
2429,Anna and Kevin Stumbles Into a Major Problem While Looking for Girlie,7,2011.0,71.0
494,De langste adem,7,1997.0,13.0
3816,(#1.3),7,,3.0
5546,Game 4,7,1954.0,
2449,Anna Is Completely Bothered at the Sight of Her Ex,7,2011.0,37.0
5416,(2010-08-29),7,2010.0,
4350,Etude in G-mineur (Gouda),7,1995.0,
5376,(#1.6),7,2009.0,6.0
3103,(#1.27),7,2007.0,27.0
3022,Putting a Happy Face on Death,7,2008.0,4.0
5527,1952 World Series,2,1952.0,
2994,Grave Decisions,7,2011.0,2.0
852,(2004-11-25),7,2004.0,
5367,1812: El mar de la libertad,2,2006.0,
2674,Världens roligaste ögonblick 70-61,7,2005.0,4.0
947,Folklore,7,2002.0,3.0
2670,Världens roligaste ögonblick 30-21,7,2005.0,8.0
2811,Nicolas Sarkozy,7,2005.0,
3108,(#1.5),7,2006.0,5.0
149,"Las Vegas, Nevada",7,2004.0,4.0
5603,Game 4,7,1961.0,
2953,Dead Wrongs,7,2008.0,4.0
5611,Game 6,7,1962.0,
2434,Anna and Sophia Realize How Difficult Mothering Is Through Myrna,7,2011.0,46.0
5523,Game 3,7,1951.0,
3163,(#3.81),7,2009.0,81.0
2938,Bobby Slammed,7,2012.0,
1821,Elfriede Jelinek: Pianonsoittaja,7,2009.0,5.0
1991,(2012-10-20),7,2012.0,
406,Dirty Dozen,7,2001.0,7.0
4531,(2007-10-25),7,2007.0,
2613,Hour 5,7,2000.0,5.0
1542,Das Rad,7,1988.0,
2909,100% Greve,2,2002.0,
5262,Detour,7,2010.0,4.0
3572,Mamie Boom,7,2010.0,
2130,"Fayleen, Zina and Daniel",7,2008.0,6.0
2363,Rivalidad,7,2012.0,46.0
2621,Earth Sciences,7,2004.0,
4883,Ebony,7,2009.0,4.0
1229,(#2.14),7,2011.0,14.0
2631,100 Greatest Songs of the 00s,7,2011.0,2.0
1780,Turkey Bowling,7,2009.0,1.0
4912,Samantha,7,,6.0
4353,Geen geheimen (Bathmen),7,1997.0,
2627,100 Greatest Songs of the '80s,2,2006.0,
1041,Kari Bremnes - Masala,7,2010.0,
2096,Aging 9-1-1,7,2004.0,5.0
803,(2008-10-18),7,2008.0,
3893,(#1.19),7,2008.0,19.0
4366,Houseparty (Soest),7,1996.0,
905,Free Websites,7,2000.0,5.0
5773,Game 1,7,1976.0,
4225,"Faith, Hope and Sergeant Aronson",7,1965.0,19.0
3740,Nice People,7,1993.0,1.0
4280,Those Who Are About to Die,7,1965.0,15.0
2156,Ground Down Mom,7,2005.0,17.0
2049,Life and Death,7,2002.0,5.0
310,Flight of Fancy,7,1986.0,4.0
3311,Cheerloser,7,2013.0,3.0
1871,(#1.14),7,2011.0,14.0
3905,(#1.3),7,2008.0,3.0
5861,Game 6,7,1981.0,
3680,10th Winter Olympic Games,2,1968.0,
3796,With Bouncing Soles,7,1989.0,1.0
5688,Game 1,7,1971.0,
3013,Mile Die Club,7,2011.0,
1654,(#1.5),7,2008.0,5.0
5705,Game 5,7,1972.0,
4561,(2011-06-22),7,2011.0,
4677,Tardor perillosa,7,1988.0,8.0
3781,The Rope Trick,7,1998.0,3.0
3526,Steve Pageot and Floacist the Judges,7,2005.0,
2315,Cambio de tornas,7,2012.0,70.0
423,Een kastelein is ook maar een mens,7,1970.0,5.0
3078,Ricky Returns,7,2009.0,9.0
4154,"A Great Distance in the Wind, the Sky at Dawn: Part 10",7,2003.0,33.0
281,(#1.9),7,1979.0,9.0
5397,(#2.3),7,2013.0,3.0
5391,(#1.7),7,2011.0,7.0
