company_id,company_name,country_code,movie_id,color_info,languages,countries,release dates
4,5*,gb,57,Color,English,Canada,06/01/2011
5,Canadian Television (CTV),ca,57,Color,English,Canada,06/01/2011
6,Columbia Broadcasting System (CBS),us,57,Color,English,Canada,06/01/2011
8,Veronica,nl,57,Color,English,Canada,06/01/2011
4,5*,gb,58,Color,English,Canada,10/02/2011
5,Canadian Television (CTV),ca,58,Color,English,Canada,10/02/2011
6,Columbia Broadcasting System (CBS),us,58,Color,English,Canada,10/02/2011
8,Veronica,nl,58,Color,English,Canada,10/02/2011
4,5*,gb,59,Color,English,Canada,18/11/2010
5,Canadian Television (CTV),ca,59,Color,English,Canada,18/11/2010
6,Columbia Broadcasting System (CBS),us,59,Color,English,Canada,18/11/2010
8,Veronica,nl,59,Color,English,Canada,18/11/2010
4,5*,gb,60,Color,English,Canada,21/10/2010
5,Canadian Television (CTV),ca,60,Color,English,Canada,21/10/2010
6,Columbia Broadcasting System (CBS),us,60,Color,English,Canada,21/10/2010
7,Nine Network Australia,au,60,Color,English,Canada,21/10/2010
8,Veronica,nl,60,Color,English,Canada,21/10/2010
9,Warner Channel Latin America,br,60,Color,English,Canada,21/10/2010
4,5*,gb,61,Color,English,Canada,23/09/2010
5,Canadian Television (CTV),ca,61,Color,English,Canada,23/09/2010
6,Columbia Broadcasting System (CBS),us,61,Color,English,Canada,23/09/2010
7,Nine Network Australia,au,61,Color,English,Canada,23/09/2010
8,Veronica,nl,61,Color,English,Canada,23/09/2010
9,Warner Channel Latin America,br,61,Color,English,Canada,23/09/2010
4,5*,gb,62,Color,English,Cambodia,13/01/2011
5,Canadian Television (CTV),ca,62,Color,English,Cambodia,13/01/2011
6,Columbia Broadcasting System (CBS),us,62,Color,English,Cambodia,13/01/2011
8,Veronica,nl,62,Color,English,Cambodia,13/01/2011
4,5*,gb,63,Color,English,Canada,11/11/2010
5,Canadian Television (CTV),ca,63,Color,English,Canada,11/11/2010
6,Columbia Broadcasting System (CBS),us,63,Color,English,Canada,11/11/2010
8,Veronica,nl,63,Color,English,Canada,11/11/2010
4,5*,gb,64,Color,English,Canada,07/10/2010
5,Canadian Television (CTV),ca,64,Color,English,Canada,07/10/2010
6,Columbia Broadcasting System (CBS),us,64,Color,English,Canada,07/10/2010
7,Nine Network Australia,au,64,Color,English,Canada,07/10/2010
8,Veronica,nl,64,Color,English,Canada,07/10/2010
9,Warner Channel Latin America,br,64,Color,English,Canada,07/10/2010
4,5*,gb,65,Color,English,Canada,03/02/2011
5,Canadian Television (CTV),ca,65,Color,English,Canada,03/02/2011
6,Columbia Broadcasting System (CBS),us,65,Color,English,Canada,03/02/2011
8,Veronica,nl,65,Color,English,Canada,03/02/2011
4,5*,gb,66,Color,English,Canada,17/02/2011
5,Canadian Television (CTV),ca,66,Color,English,Canada,17/02/2011
6,Columbia Broadcasting System (CBS),us,66,Color,English,Canada,17/02/2011
8,Veronica,nl,66,Color,English,Canada,17/02/2011
4,5*,gb,67,Color,English,Canada,30/09/2010
5,Canadian Television (CTV),ca,67,Color,English,Canada,30/09/2010
6,Columbia Broadcasting System (CBS),us,67,Color,English,Canada,30/09/2010
7,Nine Network Australia,au,67,Color,English,Canada,30/09/2010
8,Veronica,nl,67,Color,English,Canada,30/09/2010
9,Warner Channel Latin America,br,67,Color,English,Canada,30/09/2010
4,5*,gb,68,Color,English,Canada,09/12/2010
5,Canadian Television (CTV),ca,68,Color,English,Canada,09/12/2010
6,Columbia Broadcasting System (CBS),us,68,Color,English,Canada,09/12/2010
7,Nine Network Australia,au,68,Color,English,Canada,09/12/2010
8,Veronica,nl,68,Color,English,Canada,09/12/2010
10,Lorimar Telepictures,us,69,Color,English,Unkown,01/01/1800
11,Warner Bros. Television,us,69,Color,English,Unkown,01/01/1800
12,A&E Television Networks,us,70,Color,English,USA,19/06/2010
13,Alliance Atlantis Broadcasting,ca,82,Color,English,Canada,13/09/2001
14,National Geographic Channel,gb,82,Color,English,Canada,13/09/2001
6,Columbia Broadcasting System (CBS),us,85,Color,English,USA,17/09/1984
15,Music Television 2 (MTV2),us,86,Color,English,USA,02/02/2002
16,Music Television (MTV),us,94,Color,English,USA,13/10/2005
17,Food Network,us,106,Color,English,USA,23/09/2012
18,CanWest Global Communications,ca,114,Color,English,USA,08/11/2004
19,National Broadcasting Company (NBC),us,114,Color,English,USA,08/11/2004
17,Food Network,us,118,Color,English,USA,24/04/2002
20,MTV Networks,us,196,Color,English,USA,01/05/2009
20,MTV Networks,us,211,Color,English,USA,01/12/2009
21,7 Network,au,227,Color,English,Australia,13/09/1980
22,NYC TV,us,228,Color,English,USA,24/01/2003
19,National Broadcasting Company (NBC),us,272,Color,English,USA,26/01/1979
23,Paramount Television,,272,Color,English,USA,26/01/1979
19,National Broadcasting Company (NBC),us,273,Color,English,USA,26/01/1979
19,National Broadcasting Company (NBC),us,279,Color,English,USA,09/03/1979
24,Sky Television,gb,282,Color,English,UK,02/09/2011
25,VH1 Classic,us,283,Color,English,USA,22/05/2009
26,BBC Video,gb,284,Color,English,UK,30/12/1982
27,British Broadcasting Corporation (BBC),gb,284,Color,English,UK,30/12/1982
28,Eesti Televisioon (ETV),ee,284,Color,English,UK,30/12/1982
29,Pan Vision Oy,fi,284,Color,English,UK,30/12/1982
30,Polyband,de,284,Color,English,UK,30/12/1982
31,RTL Entertainment,nl,284,Color,English,UK,30/12/1982
32,Televisie Radio Omroep Stichting (TROS),nl,284,Color,English,UK,30/12/1982
33,Warner Home Video,nl,284,Color,English,UK,30/12/1982
34,Warner Home Video,us,284,Color,English,UK,30/12/1982
35,Leopard International,gb,370,Color,English,UK,15/09/2010
36,CanWest Global Television Network,ca,371,Color,English,Canada,13/09/2007
37,Komuna,rs,398,Color,Serbo-Croatian,Serbia,20/06/2000
38,Vitaya,be,404,Color,Dutch,Belgium,23/12/2007
27,British Broadcasting Corporation (BBC),gb,405,Color,English,UK,10/09/2001
39,BBC Scotland,gb,414,Color,Scottish Gaelic,UK,23/04/2009
40,Astromax Entertainment,dk,579,Black and White,English,Denmark,01/01/2012
40,Astromax Entertainment,dk,580,Black and White,English,USA,01/01/2012
41,Court TV,us,581,Unkown,English,Unkown,01/01/1800
42,Filmbox HD,hu,581,Unkown,English,Unkown,01/01/1800
43,Filmbox,hu,581,Unkown,English,Unkown,01/01/1800
44,Fremantle Media,gb,581,Unkown,English,Unkown,01/01/1800
45,Poén!,hu,581,Unkown,English,Unkown,01/01/1800
46,RTL Klub Televízió,hu,581,Unkown,English,Unkown,01/01/1800
47,Sorozat,hu,581,Unkown,English,Unkown,01/01/1800
41,Court TV,us,586,Unkown,English,USA,13/09/2006
48,Five US,gb,596,Color,English,USA,13/09/2006
49,Fox Network,us,596,Color,English,USA,13/09/2006
31,RTL Entertainment,nl,596,Color,English,USA,13/09/2006
46,RTL Klub Televízió,hu,596,Color,English,USA,13/09/2006
50,Sony Pictures Home Entertainment,be,596,Color,English,USA,13/09/2006
51,Sony Pictures Home Entertainment,nl,596,Color,English,USA,13/09/2006
52,Sony Pictures Home Entertainment,us,596,Color,English,USA,13/09/2006
53,TV3,ee,596,Color,English,USA,13/09/2006
49,Fox Network,us,597,Color,English,USA,21/03/2010
46,RTL Klub Televízió,hu,597,Color,English,USA,21/03/2010
46,RTL Klub Televízió,hu,600,Unkown,English,USA,14/11/2007
49,Fox Network,us,601,Color,English,USA,18/04/2010
46,RTL Klub Televízió,hu,602,Unkown,English,USA,25/04/2010
46,RTL Klub Televízió,hu,603,Unkown,English,USA,28/02/2010
46,RTL Klub Televízió,hu,605,Unkown,English,USA,08/10/2008
54,Comedy Central Deutschland,de,606,Color,English,USA,14/03/2007
49,Fox Network,us,606,Color,English,USA,14/03/2007
46,RTL Klub Televízió,hu,606,Color,English,USA,14/03/2007
49,Fox Network,us,607,Color,English,Germany,01/03/2010
46,RTL Klub Televízió,hu,607,Color,English,Germany,01/03/2010
54,Comedy Central Deutschland,de,608,Color,English,USA,03/10/2007
49,Fox Network,us,608,Color,English,USA,03/10/2007
46,RTL Klub Televízió,hu,608,Color,English,USA,03/10/2007
49,Fox Network,us,609,Color,English,Germany,25/02/2010
46,RTL Klub Televízió,hu,609,Color,English,Germany,25/02/2010
54,Comedy Central Deutschland,de,610,Color,English,USA,21/12/2006
49,Fox Network,us,610,Color,English,USA,21/12/2006
46,RTL Klub Televízió,hu,610,Color,English,USA,21/12/2006
54,Comedy Central Deutschland,de,611,Color,English,USA,30/11/2006
49,Fox Network,us,611,Color,English,USA,30/11/2006
46,RTL Klub Televízió,hu,611,Color,English,USA,30/11/2006
46,RTL Klub Televízió,hu,612,Unkown,English,USA,28/03/2010
46,RTL Klub Televízió,hu,613,Unkown,English,USA,02/10/2009
54,Comedy Central Deutschland,de,614,Color,English,USA,16/11/2006
49,Fox Network,us,614,Color,English,USA,16/11/2006
46,RTL Klub Televízió,hu,614,Color,English,USA,16/11/2006
46,RTL Klub Televízió,hu,615,Unkown,English,USA,24/09/2008
46,RTL Klub Televízió,hu,617,Unkown,English,USA,28/11/2007
49,Fox Network,us,618,Color,English,USA,04/04/2010
46,RTL Klub Televízió,hu,618,Color,English,USA,04/04/2010
54,Comedy Central Deutschland,de,619,Color,English,USA,18/01/2007
49,Fox Network,us,619,Color,English,USA,18/01/2007
46,RTL Klub Televízió,hu,619,Color,English,USA,18/01/2007
54,Comedy Central Deutschland,de,620,Color,English,USA,26/09/2007
49,Fox Network,us,620,Color,English,USA,26/09/2007
46,RTL Klub Televízió,hu,620,Color,English,USA,26/09/2007
54,Comedy Central Deutschland,de,622,Color,English,USA,21/03/2007
49,Fox Network,us,622,Color,English,USA,21/03/2007
46,RTL Klub Televízió,hu,622,Color,English,USA,21/03/2007
46,RTL Klub Televízió,hu,624,Unkown,English,USA,17/09/2008
46,RTL Klub Televízió,hu,629,Unkown,English,USA,17/10/2007
46,RTL Klub Televízió,hu,630,Unkown,English,USA,25/12/2009
46,RTL Klub Televízió,hu,631,Unkown,English,USA,28/11/2007
46,RTL Klub Televízió,hu,632,Unkown,English,USA,21/02/2010
54,Comedy Central Deutschland,de,633,Color,English,USA,19/09/2007
49,Fox Network,us,633,Color,English,USA,19/09/2007
46,RTL Klub Televízió,hu,633,Color,English,USA,19/09/2007
46,RTL Klub Televízió,hu,634,Unkown,English,USA,01/10/2008
54,Comedy Central Deutschland,de,635,Color,English,Canada,06/09/2006
49,Fox Network,us,635,Color,English,Canada,06/09/2006
31,RTL Entertainment,nl,635,Color,English,Canada,06/09/2006
46,RTL Klub Televízió,hu,635,Color,English,Canada,06/09/2006
46,RTL Klub Televízió,hu,636,Unkown,English,USA,14/05/2008
46,RTL Klub Televízió,hu,637,Unkown,English,USA,25/03/2008
46,RTL Klub Televízió,hu,638,Unkown,English,USA,07/05/2008
46,RTL Klub Televízió,hu,639,Unkown,English,USA,08/10/2008
54,Comedy Central Deutschland,de,642,Color,English,USA,14/09/2006
49,Fox Network,us,642,Color,English,USA,14/09/2006
46,RTL Klub Televízió,hu,642,Color,English,USA,14/09/2006
49,Fox Network,us,644,Color,English,USA,23/04/2008
46,RTL Klub Televízió,hu,644,Color,English,USA,23/04/2008
49,Fox Network,us,645,Unkown,English,USA,14/02/2010
46,RTL Klub Televízió,hu,645,Unkown,English,USA,14/02/2010
49,Fox Network,us,646,Color,English,USA,30/04/2008
46,RTL Klub Televízió,hu,646,Color,English,USA,30/04/2008
46,RTL Klub Televízió,hu,647,Unkown,English,USA,10/09/2008
46,RTL Klub Televízió,hu,648,Unkown,English,USA,01/10/2008
54,Comedy Central Deutschland,de,649,Color,English,USA,11/04/2007
49,Fox Network,us,649,Color,English,USA,11/04/2007
46,RTL Klub Televízió,hu,649,Color,English,USA,11/04/2007
46,RTL Klub Televízió,hu,650,Unkown,English,USA,14/05/2008
54,Comedy Central Deutschland,de,651,Color,English,USA,04/04/2007
49,Fox Network,us,651,Color,English,USA,04/04/2007
46,RTL Klub Televízió,hu,651,Color,English,USA,04/04/2007
55,Radio Télévision Belge Francophone (RTBF),be,651,Color,English,USA,04/04/2007
56,TPS Star,fr,651,Color,English,USA,04/04/2007
54,Comedy Central Deutschland,de,652,Color,English,USA,04/01/2007
49,Fox Network,us,652,Color,English,USA,04/01/2007
46,RTL Klub Televízió,hu,652,Color,English,USA,04/01/2007
49,Fox Network,us,653,Color,English,USA,23/05/2010
54,Comedy Central Deutschland,de,654,Color,English,USA,08/02/2007
49,Fox Network,us,654,Color,English,USA,08/02/2007
46,RTL Klub Televízió,hu,654,Color,English,USA,08/02/2007
55,Radio Télévision Belge Francophone (RTBF),be,654,Color,English,USA,08/02/2007
56,TPS Star,fr,654,Color,English,USA,08/02/2007
49,Fox Network,us,656,Color,English,USA,25/12/2009
46,RTL Klub Televízió,hu,656,Color,English,USA,25/12/2009
49,Fox Network,us,657,Color,English,USA,21/02/2010
54,Comedy Central Deutschland,de,658,Color,English,USA,28/03/2007
49,Fox Network,us,658,Color,English,USA,28/03/2007
46,RTL Klub Televízió,hu,658,Color,English,USA,28/03/2007
54,Comedy Central Deutschland,de,659,Color,English,USA,01/02/2007
49,Fox Network,us,659,Color,English,USA,01/02/2007
46,RTL Klub Televízió,hu,659,Color,English,USA,01/02/2007
49,Fox Network,us,660,Color,English,USA,07/03/2010
49,Fox Network,us,661,Color,English,USA,25/12/2009
46,RTL Klub Televízió,hu,661,Color,English,USA,25/12/2009
46,RTL Klub Televízió,hu,662,Color,English,USA,25/12/2009
54,Comedy Central Deutschland,de,663,Color,English,USA,02/11/2006
49,Fox Network,us,663,Color,English,USA,02/11/2006
46,RTL Klub Televízió,hu,663,Color,English,USA,02/11/2006
54,Comedy Central Deutschland,de,664,Color,English,USA,11/01/2007
49,Fox Network,us,664,Color,English,USA,11/01/2007
46,RTL Klub Televízió,hu,664,Color,English,USA,11/01/2007
54,Comedy Central Deutschland,de,665,Color,English,USA,15/02/2007
49,Fox Network,us,665,Color,English,USA,15/02/2007
46,RTL Klub Televízió,hu,665,Color,English,USA,15/02/2007
49,Fox Network,us,666,Color,English,Germany,24/02/2010
46,RTL Klub Televízió,hu,666,Color,English,Germany,24/02/2010
49,Fox Network,us,667,Color,English,USA,14/03/2010
46,RTL Klub Televízió,hu,668,Unkown,English,USA,07/02/2010
54,Comedy Central Deutschland,de,669,Color,English,USA,21/09/2006
49,Fox Network,us,669,Color,English,USA,21/09/2006
46,RTL Klub Televízió,hu,669,Color,English,USA,21/09/2006
49,Fox Network,us,670,Color,English,USA,10/10/2007
46,RTL Klub Televízió,hu,670,Color,English,USA,10/10/2007
52,Sony Pictures Home Entertainment,us,670,Color,English,USA,10/10/2007
54,Comedy Central Deutschland,de,671,Color,English,USA,14/12/2006
49,Fox Network,us,671,Color,English,USA,14/12/2006
46,RTL Klub Televízió,hu,671,Color,English,USA,14/12/2006
54,Comedy Central Deutschland,de,673,Color,English,USA,28/09/2006
49,Fox Network,us,673,Color,English,USA,28/09/2006
46,RTL Klub Televízió,hu,673,Color,English,USA,28/09/2006
46,RTL Klub Televízió,hu,674,Unkown,English,USA,07/11/2007
54,Comedy Central Deutschland,de,675,Color,English,USA,11/04/2007
49,Fox Network,us,675,Color,English,USA,11/04/2007
46,RTL Klub Televízió,hu,675,Color,English,USA,11/04/2007
54,Comedy Central Deutschland,de,677,Color,English,USA,09/11/2006
49,Fox Network,us,677,Color,English,USA,09/11/2006
46,RTL Klub Televízió,hu,677,Color,English,USA,09/11/2006
57,Spike TV,us,678,Color,English,USA,12/11/2004
6,Columbia Broadcasting System (CBS),us,681,Black and White,English,USA,31/03/1961
6,Columbia Broadcasting System (CBS),us,682,Black and White,English,USA,14/07/1961
6,Columbia Broadcasting System (CBS),us,683,Black and White,English,USA,28/04/1961
6,Columbia Broadcasting System (CBS),us,684,Black and White,English,USA,09/06/1961
6,Columbia Broadcasting System (CBS),us,685,Black and White,English,USA,02/06/1961
6,Columbia Broadcasting System (CBS),us,686,Black and White,English,USA,26/05/1961
6,Columbia Broadcasting System (CBS),us,687,Black and White,English,USA,23/06/1961
6,Columbia Broadcasting System (CBS),us,688,Black and White,English,USA,05/05/1961
6,Columbia Broadcasting System (CBS),us,689,Black and White,English,USA,30/06/1961
6,Columbia Broadcasting System (CBS),us,690,Black and White,English,USA,07/07/1961
6,Columbia Broadcasting System (CBS),us,691,Black and White,English,USA,12/05/1961
6,Columbia Broadcasting System (CBS),us,692,Black and White,English,USA,07/04/1961
6,Columbia Broadcasting System (CBS),us,693,Black and White,English,USA,16/06/1961
6,Columbia Broadcasting System (CBS),us,694,Black and White,English,USA,14/04/1961
6,Columbia Broadcasting System (CBS),us,695,Black and White,English,USA,31/03/1961
58,Z Flight Productions,us,399,Color,English,USA,01/12/2009
59,Bridge Entertainment Group,nl,429,Color,Dutch,Netherlands,05/12/2010
59,Bridge Entertainment Group,nl,429,Color,Dutch,Netherlands,05/12/2010
60,Katholieke Radio Omroep (KRO),nl,429,Color,Dutch,Netherlands,05/12/2010
61,Video Film Express,nl,429,Color,Dutch,Netherlands,05/12/2010
60,Katholieke Radio Omroep (KRO),nl,442,Color,Dutch,Netherlands,05/12/2010
60,Katholieke Radio Omroep (KRO),nl,443,Color,Dutch,Netherlands,16/01/2011
60,Katholieke Radio Omroep (KRO),nl,452,Color,Dutch,Netherlands,26/12/2010
60,Katholieke Radio Omroep (KRO),nl,453,Color,Dutch,Netherlands,23/01/2011
60,Katholieke Radio Omroep (KRO),nl,454,Color,Dutch,Netherlands,02/01/2011
60,Katholieke Radio Omroep (KRO),nl,456,Color,Dutch,Netherlands,12/12/2010
60,Katholieke Radio Omroep (KRO),nl,457,Color,Dutch,Netherlands,09/01/2011
60,Katholieke Radio Omroep (KRO),nl,460,Color,Dutch,Netherlands,19/12/2010
62,Disky Communications Europe,nl,469,Color,Dutch,Netherlands,31/12/1993
62,Disky Communications Europe,nl,469,Color,Dutch,Netherlands,31/12/1993
31,RTL Entertainment,nl,469,Color,Dutch,Netherlands,31/12/1993
31,RTL Entertainment,nl,469,Color,Dutch,Netherlands,31/12/1993
31,RTL Entertainment,nl,469,Color,Dutch,Netherlands,31/12/1993
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,469,Color,Dutch,Netherlands,31/12/1993
31,RTL Entertainment,nl,470,Unkown,English,Netherlands,13/09/2000
31,RTL Entertainment,nl,473,Unkown,English,Netherlands,11/04/1998
31,RTL Entertainment,nl,475,Unkown,English,Netherlands,13/09/1999
31,RTL Entertainment,nl,478,Unkown,English,Netherlands,13/09/1995
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,479,Unkown,English,Netherlands,18/02/1994
31,RTL Entertainment,nl,480,Unkown,English,Netherlands,13/09/1996
31,RTL Entertainment,nl,481,Unkown,English,Netherlands,13/09/1999
31,RTL Entertainment,nl,483,Unkown,English,Netherlands,13/09/1997
31,RTL Entertainment,nl,484,Unkown,English,Netherlands,28/03/1998
31,RTL Entertainment,nl,485,Unkown,English,Netherlands,13/09/1999
31,RTL Entertainment,nl,486,Unkown,English,Netherlands,13/09/2000
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,487,Unkown,English,Netherlands,26/01/1995
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,488,Unkown,English,Netherlands,04/02/1994
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,489,Unkown,English,Netherlands,05/01/1995
31,RTL Entertainment,nl,491,Unkown,English,Netherlands,13/09/1997
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,492,Unkown,English,Netherlands,23/02/1995
31,RTL Entertainment,nl,493,Unkown,English,Netherlands,13/09/1996
31,RTL Entertainment,nl,494,Unkown,English,Netherlands,13/09/1997
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,495,Unkown,English,Netherlands,02/03/1995
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,496,Unkown,English,Netherlands,16/03/1995
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,497,Unkown,English,Netherlands,30/03/1995
31,RTL Entertainment,nl,498,Unkown,English,Netherlands,30/05/1998
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,499,Unkown,English,Netherlands,14/01/1994
31,RTL Entertainment,nl,500,Unkown,English,Netherlands,13/09/1999
31,RTL Entertainment,nl,506,Unkown,English,Netherlands,13/09/1996
31,RTL Entertainment,nl,507,Unkown,English,Netherlands,13/09/1997
31,RTL Entertainment,nl,508,Unkown,English,Netherlands,13/09/1999
31,RTL Entertainment,nl,509,Unkown,English,Netherlands,09/05/1998
31,RTL Entertainment,nl,510,Unkown,English,Netherlands,13/09/1999
31,RTL Entertainment,nl,511,Unkown,English,Netherlands,13/09/1997
31,RTL Entertainment,nl,512,Unkown,English,Netherlands,13/09/1995
31,RTL Entertainment,nl,513,Unkown,English,Netherlands,13/09/1994
31,RTL Entertainment,nl,515,Unkown,English,Netherlands,13/09/1998
31,RTL Entertainment,nl,516,Unkown,English,Netherlands,13/09/1995
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,517,Unkown,English,Netherlands,23/03/1995
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,518,Unkown,English,Netherlands,09/02/1995
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,521,Unkown,English,Netherlands,12/01/1995
31,RTL Entertainment,nl,522,Unkown,English,Netherlands,13/09/1997
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,523,Unkown,English,Netherlands,13/09/1994
31,RTL Entertainment,nl,524,Unkown,English,Netherlands,13/09/1999
31,RTL Entertainment,nl,525,Unkown,English,Netherlands,13/09/1997
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,526,Unkown,English,Netherlands,28/01/1994
31,RTL Entertainment,nl,527,Unkown,English,Netherlands,13/09/1997
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,528,Unkown,English,Netherlands,02/02/1995
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,531,Unkown,English,Netherlands,16/02/1995
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,532,Unkown,English,Netherlands,07/01/1994
31,RTL Entertainment,nl,533,Unkown,English,Netherlands,13/09/1996
31,RTL Entertainment,nl,534,Unkown,English,Netherlands,02/05/1998
31,RTL Entertainment,nl,535,Unkown,English,Netherlands,13/09/1997
31,RTL Entertainment,nl,536,Unkown,English,Netherlands,13/09/1996
31,RTL Entertainment,nl,537,Unkown,English,Netherlands,21/03/1998
31,RTL Entertainment,nl,538,Unkown,English,Netherlands,13/09/1996
31,RTL Entertainment,nl,540,Unkown,English,Netherlands,13/09/1996
31,RTL Entertainment,nl,541,Unkown,English,Netherlands,13/09/2000
31,RTL Entertainment,nl,542,Unkown,English,Netherlands,13/09/1999
31,RTL Entertainment,nl,544,Unkown,English,Netherlands,13/09/1997
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,545,Unkown,English,Netherlands,11/02/1994
31,RTL Entertainment,nl,546,Unkown,English,Netherlands,13/09/1999
31,RTL Entertainment,nl,549,Unkown,English,Netherlands,13/09/1996
31,RTL Entertainment,nl,550,Unkown,English,Netherlands,18/04/1998
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,551,Unkown,English,Netherlands,21/01/1994
31,RTL Entertainment,nl,552,Unkown,English,Netherlands,13/09/1999
31,RTL Entertainment,nl,553,Unkown,English,Netherlands,13/09/2000
31,RTL Entertainment,nl,554,Unkown,English,Netherlands,02/05/1998
31,RTL Entertainment,nl,555,Unkown,English,Netherlands,13/09/1997
31,RTL Entertainment,nl,556,Color,Dutch,Netherlands,13/09/2000
31,RTL Entertainment,nl,557,Unkown,English,Netherlands,03/01/2000
31,RTL Entertainment,nl,558,Unkown,English,Netherlands,13/09/1996
31,RTL Entertainment,nl,559,Unkown,English,Netherlands,13/09/1997
31,RTL Entertainment,nl,560,Unkown,English,Netherlands,06/06/1998
31,RTL Entertainment,nl,563,Unkown,English,Netherlands,23/05/1998
31,RTL Entertainment,nl,564,Unkown,English,Netherlands,04/04/1998
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,565,Unkown,English,Netherlands,09/03/1995
31,RTL Entertainment,nl,566,Unkown,English,Netherlands,13/09/1999
63,Verenigde Arbeiders Radio Amateurs (VARA),nl,567,Unkown,English,Netherlands,19/01/1995
31,RTL Entertainment,nl,568,Unkown,English,Netherlands,13/09/2000
31,RTL Entertainment,nl,572,Unkown,English,Netherlands,13/09/1999
31,RTL Entertainment,nl,574,Unkown,English,Netherlands,13/09/1995
31,RTL Entertainment,nl,575,Unkown,English,Netherlands,13/09/1997
31,RTL Entertainment,nl,576,Unkown,English,Netherlands,16/05/1998
64,Televisió de Catalunya (TV3),es,723,Color,Catalan,Spain,02/04/2008
65,SBS Program Sales,au,750,Color,English,Australia,13/09/2003
66,Malvalanda,es,817,Color,Spanish,Spain,01/12/2008
67,Sat.1,de,819,Color,German,Germany,10/10/2010
68,Westdeutscher Rundfunk (WDR),de,820,Color,German,Germany,23/07/2006
64,Televisió de Catalunya (TV3),es,826,Color,Catalan,Spain,05/07/2004
69,Televisión Española (TVE),es,901,Black and White,Spanish,Spain,13/09/1971
70,Das Vierte,de,853,Color,German,Germany,07/03/2007
71,RaiTrade,it,860,Black and White,Italian,Italy,07/09/1971
72,Sender Freies Berlin (SFB),de,887,Color,German,Germany,20/08/1993
73,Danmarks Radio (DR),dk,903,Color,Danish,Denmark,01/05/2000
