subject_1,subject_2,<wasBornOnDate>_1,<wasBornOnDate>_2,<hasHeight>,<diedOnDate>_1,<diedOnDate>_2
2,91,33,37,-1,20,37
2,92,27,97,-1,54,64
2,93,49,99,-1,1,2
2,94,23,107,-1,72,42
2,95,31,48,-1,14,67
2,96,83,10,-1,1,2
2,97,46,113,-1,1,2
2,98,95,77,-1,1,2
2,99,74,50,-1,1,2
2,100,98,28,-1,1,2
2,101,6,86,-1,11,73
2,102,41,35,-1,48,5
2,103,60,11,-1,46,47
2,104,56,14,-1,59,70
2,105,69,64,-1,1,2
2,106,54,103,-1,51,47
2,107,15,38,-1,39,60
2,108,41,123,-1,1,2
2,109,53,52,-1,1,2
2,110,27,2,-1,58,8
2,111,51,93,-1,1,2
2,112,57,120,-1,1,2
2,113,102,87,-1,1,2
2,114,54,83,-1,61,25
2,115,42,27,-1,1,2
2,116,40,40,-1,1,2
2,117,28,30,-1,26,41
2,118,40,22,-1,51,42
2,119,15,68,-1,20,68
2,120,96,52,-1,1,2
2,121,78,18,-1,33,68
2,122,16,11,-1,7,38
2,123,55,37,-1,1,2
2,124,79,104,-1,1,2
2,125,44,68,-1,1,2
2,126,51,52,-1,64,62
2,127,25,74,-1,34,42
2,128,106,81,-1,1,2
2,129,43,116,-1,71,21
2,130,33,10,-1,52,8
2,131,19,21,-1,12,28
2,132,57,72,-1,1,2
2,133,15,87,-1,11,10
2,134,8,41,-1,15,42
2,135,11,62,57,33,2
2,136,25,49,-1,46,55
2,137,35,92,-1,1,2
2,138,49,80,-1,1,2
2,139,14,75,-1,21,51
2,140,53,101,-1,73,3
2,141,110,20,-1,1,2
2,142,59,100,-1,1,2
2,143,65,97,-1,1,2
2,144,54,22,-1,1,2
2,145,41,102,-1,72,26
2,146,55,3,-1,74,63
2,147,87,112,-1,1,2
2,148,24,23,-1,73,65
2,149,88,37,-1,1,2
2,150,96,55,-1,1,2
2,151,114,116,-1,1,2
2,152,95,34,-1,1,2
2,153,85,117,-1,1,2
2,154,10,30,-1,21,6
2,155,35,76,-1,1,2
2,156,72,108,-1,1,2
2,157,100,107,-1,1,2
2,158,50,50,-1,1,2
2,159,3,34,-1,7,49
2,160,1,48,-1,7,17
2,161,12,118,-1,20,46
2,162,55,72,-1,1,2
2,163,13,58,-1,14,68
2,164,48,49,-1,1,2
2,165,72,28,-1,1,2
2,166,42,61,-1,1,2
2,167,5,22,-1,9,3
2,168,44,24,-1,1,2
2,169,15,75,-1,27,68
2,170,1,43,-1,6,16
2,171,23,39,-1,56,18
2,172,13,104,-1,17,33
2,173,10,45,-1,22,12
2,174,17,75,-1,10,50
2,175,44,40,-1,1,2
2,176,30,91,-1,52,6
3,1,31,54,-1,45,53
3,2,7,64,-1,24,6
3,3,17,41,-1,13,72
3,4,33,43,-1,34,66
3,5,124,10,-1,1,2
3,6,64,97,-1,71,31
3,7,98,99,-1,1,2
3,8,100,26,-1,1,2
3,9,22,116,-1,15,45
3,10,4,55,-1,5,11
3,11,19,55,-1,48,72
3,12,3,69,-1,8,19
3,13,26,76,-1,28,2
3,14,44,77,-1,1,2
3,15,31,40,-1,42,30
3,16,51,28,-1,1,2
3,17,20,18,-1,53,59
3,18,29,85,-1,28,64
3,19,13,107,-1,19,12
3,20,119,114,-1,1,2
3,21,24,101,-1,50,33
3,22,46,63,-1,1,2
3,23,27,56,-1,65,13
3,24,100,69,-1,1,2
3,25,4,108,-1,23,11
3,26,111,29,-1,1,2
3,27,116,84,-1,1,2
3,28,112,94,-1,1,2
3,29,27,83,-1,73,11
3,30,13,48,-1,34,63
3,31,28,108,-1,62,24
3,32,42,7,-1,1,2
3,33,31,79,-1,35,71
3,34,36,72,-1,61,33
3,35,5,121,-1,12,61
3,36,68,82,-1,1,2
3,37,35,46,-1,54,51
3,38,19,87,-1,47,30
3,39,78,107,-1,1,2
3,40,30,19,-1,75,10
3,41,93,106,-1,1,2
3,42,118,35,-1,1,2
3,43,82,85,-1,1,2
3,44,103,59,-1,1,2
3,45,100,69,-1,1,2
3,46,19,40,-1,41,17
3,47,55,12,-1,1,2
3,48,62,92,-1,57,59
3,49,108,68,-1,1,2
3,50,69,68,-1,1,2
3,51,38,23,-1,66,50
3,52,74,15,-1,57,37
3,53,65,88,-1,1,2
3,54,52,27,-1,1,2
3,55,15,2,-1,43,6
3,56,30,76,-1,34,14
3,57,2,92,-1,2,34
3,58,69,101,-1,67,72
3,59,24,62,-1,23,43
3,60,99,18,-1,1,2
3,61,78,5,-1,1,2
3,62,75,123,-1,1,2
3,63,111,111,-1,1,2
3,64,46,54,-1,1,2
3,65,113,90,-1,1,2
3,66,58,105,-1,1,2
3,67,65,38,-1,1,2
3,68,9,63,-1,40,59
3,69,64,92,-1,1,2
3,70,78,36,-1,1,2
3,71,93,123,-1,1,2
3,72,89,111,-1,1,2
3,73,91,32,-1,1,2
3,74,92,48,-1,1,2
3,75,80,39,-1,1,2
3,76,26,41,-1,51,47
3,77,115,120,-1,1,2
3,78,90,123,-1,1,2
3,79,77,94,-1,1,2
3,80,39,38,-1,1,2
3,81,63,59,-1,1,2
3,82,115,73,-1,1,2
3,83,74,22,-1,1,2
3,84,68,42,-1,1,2
3,85,92,45,-1,1,2
3,86,83,48,-1,1,2
3,87,120,118,-1,1,2
3,88,122,37,-1,1,2
3,89,113,40,-1,1,2
3,90,69,87,-1,1,2
3,91,82,39,-1,1,2
3,92,23,42,-1,41,22
3,93,75,6,-1,1,2
3,94,41,79,-1,66,61
3,95,86,66,-1,1,2
3,96,75,30,-1,1,2
3,97,103,120,-1,1,2
3,98,121,17,-1,1,2
3,99,91,42,-1,1,2
3,100,109,119,-1,1,2
3,101,78,29,-1,1,2
3,102,110,42,-1,1,2
3,103,21,9,-1,48,37
3,104,96,96,-1,1,2
3,105,117,21,-1,1,2
3,106,9,109,-1,21,24
3,107,110,100,-1,1,2
3,108,103,116,-1,1,2
3,109,42,40,-1,72,7
3,110,90,93,-1,1,2
3,111,102,17,-1,1,2
3,112,74,4,-1,1,2
3,113,104,66,-1,1,2
3,114,107,37,-1,1,2
3,115,78,110,-1,1,2
3,116,122,65,-1,1,2
3,117,61,99,-1,1,2
3,118,106,36,-1,1,2
3,119,103,98,-1,1,2
3,120,73,100,-1,30,2
3,121,119,19,-1,1,2
3,122,115,19,-1,1,2
3,123,35,101,-1,1,2
3,124,86,3,-1,1,2
3,125,111,90,-1,1,2
3,126,91,69,-1,1,2
3,127,1,60,-1,9,64
3,128,87,114,-1,1,2
3,129,120,40,-1,1,2
3,130,15,48,-1,42,20
3,131,107,52,-1,1,2
3,132,89,66,-1,1,2
3,133,11,24,-1,15,4
3,134,104,46,-1,1,2
3,135,64,45,-1,27,65
3,136,58,73,-1,40,74
3,137,13,31,-1,33,41
3,138,120,89,-1,1,2
3,139,6,122,-1,4,73
3,140,44,45,-1,60,14
3,141,79,35,-1,1,2
3,142,82,60,-1,1,2
3,143,28,9,-1,29,9
3,144,28,69,-1,61,33
3,145,14,24,-1,40,69
3,146,114,72,-1,1,2
3,147,48,54,-1,1,2
3,148,119,31,-1,1,2
3,149,52,100,-1,1,2
3,150,86,68,-1,1,2
3,151,61,64,-1,1,2
3,152,112,34,-1,1,2
3,153,40,77,-1,1,2
3,154,19,37,-1,29,32
3,155,79,54,-1,1,2
3,156,96,97,-1,1,2
3,157,19,86,-1,37,54
3,158,5,38,-1,9,10
3,159,115,7,-1,1,2
3,160,88,2,-1,1,2
3,161,53,105,-1,69,20
3,162,106,30,-1,1,2
3,163,79,24,-1,1,2
3,164,112,73,-1,1,2
3,165,122,11,-1,1,2
3,166,112,2,-1,1,2
3,167,108,107,-1,1,2
3,168,117,38,-1,1,2
3,169,98,9,-1,1,2
3,170,84,116,-1,1,2
3,171,97,98,-1,1,2
3,172,81,7,-1,1,2
3,173,43,68,-1,1,2
3,174,114,57,-1,1,2
3,175,115,52,-1,1,2
3,176,88,100,-1,1,2
4,1,79,26,-1,1,2
4,2,91,39,-1,1,2
4,3,100,30,-1,1,2
4,4,95,103,-1,1,2
4,5,116,8,-1,1,2
4,6,75,96,-1,1,2
4,7,82,5,-1,1,2
4,8,89,17,-1,1,2
4,9,113,120,-1,1,2
4,10,118,57,-1,1,2
4,11,45,113,-1,1,2
4,12,79,22,-1,1,2
4,13,85,23,-1,1,2
4,14,10,59,-1,29,38
4,15,107,104,-1,1,2
4,16,4,31,-1,3,71
4,17,61,94,-1,1,2
4,18,119,74,-1,1,2
4,19,95,78,-1,1,2
4,20,85,5,-1,74,30
4,21,105,23,-1,1,2
4,22,93,73,-1,1,2
4,23,79,96,-1,1,2
4,24,109,65,-1,1,2
4,25,93,78,-1,1,2
4,26,49,19,-1,51,37
4,27,116,42,-1,1,2
4,28,94,9,-1,1,2
4,29,25,102,-1,38,42
4,30,102,89,-1,1,2
4,31,94,23,-1,1,2
4,32,112,118,-1,1,2
4,33,62,118,-1,1,2
4,34,24,62,-1,32,48
4,35,22,80,-1,54,51
4,36,112,90,-1,1,2
4,37,21,34,-1,31,73
4,38,38,53,-1,57,2
4,39,4,119,-1,7,60
4,40,12,49,-1,9,27
4,41,108,29,-1,1,2
4,42,62,13,-1,1,2
4,43,2,91,-1,3,1
4,44,4,12,-1,6,44
4,45,4,122,-1,22,13
4,46,22,93,-1,63,45
4,47,73,44,-1,1,2
4,48,115,59,-1,1,2
4,49,2,49,-1,8,28
4,50,4,69,-1,10,36
4,51,6,80,-1,21,58
4,52,3,42,-1,10,70
4,53,8,1,-1,13,65
4,54,4,102,-1,8,71
4,55,14,112,-1,16,12
4,56,8,1,-1,16,56
4,57,31,113,-1,44,2
4,58,6,91,-1,29,34
4,59,35,71,-1,69,56
4,60,39,10,-1,67,71
4,61,17,46,-1,29,52
4,62,10,119,-1,36,30
4,63,116,37,-1,1,2
4,64,12,109,-1,27,60
4,65,98,99,-1,1,2
4,66,91,84,-1,1,2
4,67,95,112,-1,1,2
4,68,73,97,-1,1,2
4,69,120,68,-1,1,2
4,70,45,91,-1,40,42
4,71,97,40,-1,1,2
4,72,106,19,-1,1,2
4,73,22,80,-1,33,31
4,74,119,119,-1,1,2
4,75,115,119,13,1,2
4,76,80,9,-1,1,2
4,77,53,80,-1,1,2
4,78,28,79,-1,69,36
4,79,113,53,-1,1,2
4,80,114,24,-1,1,2
4,81,6,97,-1,3,23
4,82,107,86,-1,1,2
4,83,117,65,-1,1,2
4,84,33,71,-1,74,56
4,85,120,97,-1,1,2
4,86,75,100,-1,1,2
4,87,105,102,-1,1,2
4,88,85,35,-1,1,2
4,89,28,16,-1,57,25
4,90,111,103,-1,1,2
4,91,34,55,-1,1,2
4,92,118,60,-1,1,2
4,93,5,106,-1,8,31
4,94,64,2,-1,1,2
4,95,22,53,-1,13,36
4,96,55,96,-1,64,19
4,97,107,22,-1,1,2
4,98,10,45,-1,7,34
4,99,16,89,-1,38,43
4,100,21,61,-1,34,61
4,101,96,82,-1,1,2
4,102,10,21,-1,32,26
4,103,13,100,-1,50,30
4,104,100,29,-1,1,2
4,105,118,66,-1,1,2
4,106,116,101,-1,1,2
4,107,82,88,-1,1,2
4,108,82,118,33,1,2
4,109,115,71,-1,1,2
4,110,99,9,-1,1,2
4,111,20,39,-1,69,16
4,112,96,121,-1,1,2
4,113,115,33,-1,1,2
4,114,95,11,-1,1,2
4,115,120,65,-1,1,2
4,116,107,99,-1,1,2
4,117,49,112,-1,65,24
4,118,25,100,-1,55,20
4,119,40,78,-1,42,37
4,120,98,60,-1,1,2
4,121,123,112,-1,1,2
4,122,109,99,-1,1,2
4,123,110,26,-1,1,2
4,124,9,68,-1,36,39
4,125,40,119,-1,1,2
4,126,104,93,-1,1,2
4,127,73,83,-1,1,2
4,128,97,70,-1,1,2
4,129,107,34,-1,1,2
4,130,73,73,-1,1,2
4,131,110,108,20,15,66
4,132,80,101,-1,1,2
4,133,89,93,-1,1,2
4,134,86,52,-1,1,2
4,135,101,19,-1,1,2
4,136,101,90,-1,1,2
4,137,111,66,-1,1,2
4,138,71,37,-1,1,2
4,139,54,52,-1,1,2
4,140,96,112,-1,1,2
4,141,87,5,-1,1,2
4,142,51,67,-1,1,2
4,143,95,77,-1,52,48
4,144,2,96,-1,5,12
4,145,58,4,-1,1,2
4,146,22,90,-1,67,65
4,147,59,11,-1,1,2
4,148,24,79,-1,32,38
4,149,29,39,-1,43,9
4,150,98,20,-1,1,2
4,151,116,95,-1,1,2
4,152,16,27,-1,18,64
4,153,27,67,-1,57,64
4,154,60,31,-1,1,2
4,155,64,70,-1,1,2
4,156,57,36,-1,1,2
4,157,31,113,-1,1,2
4,158,77,79,-1,1,2
4,159,46,48,-1,1,2
4,160,25,2,-1,24,62
4,161,10,6,-1,19,30
4,162,104,80,-1,1,2
4,163,22,50,-1,25,52
4,164,83,42,-1,1,2
4,165,33,109,-1,1,2
4,166,60,56,-1,1,2
4,167,121,3,-1,1,2
4,168,119,42,-1,1,2
4,169,120,79,-1,1,2
4,170,85,73,-1,1,2
4,171,78,17,-1,1,2
4,172,106,75,-1,1,2
4,173,111,32,-1,1,2
4,174,117,83,-1,1,2
4,175,105,62,-1,1,2
4,176,114,88,-1,1,2
5,1,121,92,-1,1,2
5,2,60,42,-1,1,2
5,3,74,26,-1,1,2
5,4,73,16,-1,1,2
5,5,64,5,-1,1,2
5,6,10,86,-1,25,28
5,7,23,121,-1,56,74
5,8,64,51,-1,1,2
5,9,1,56,-1,10,45
5,10,9,48,-1,21,24
5,11,7,74,-1,19,3
5,12,58,121,-1,1,2
5,13,108,53,-1,1,2
5,14,54,41,-1,1,2
5,15,12,61,-1,29,63
5,16,58,107,-1,1,2
5,17,49,76,-1,70,54
5,18,115,112,-1,1,2
5,19,120,28,-1,1,2
5,20,85,97,-1,1,2
5,21,92,96,-1,1,2
5,22,120,35,-1,1,2
5,23,111,34,-1,1,2
5,24,90,90,-1,1,2
5,25,111,73,-1,1,2
5,26,106,102,-1,1,2
5,27,124,23,-1,1,2
5,28,48,93,-1,39,17
5,29,117,55,-1,1,2
5,30,112,10,-1,1,2
5,31,82,60,-1,1,2
5,32,28,4,-1,48,28
5,33,100,69,-1,1,2
5,34,92,48,-1,1,2
5,35,41,104,-1,1,2
5,36,69,13,-1,1,2
5,37,34,50,-1,34,11
5,38,104,94,-1,1,2
5,39,66,95,-1,1,2
5,40,112,15,-1,1,2
5,41,112,45,-1,1,2
5,42,118,110,-1,1,2
5,43,88,93,-1,1,2
5,44,74,35,-1,1,2
5,45,19,76,-1,55,16
5,46,80,47,-1,1,2
5,47,109,92,-1,1,2
5,48,106,108,-1,1,2
5,49,109,84,-1,1,2
5,50,81,10,-1,1,2
5,51,55,83,-1,1,2
5,52,77,55,-1,1,2
5,53,70,22,-1,1,2
5,54,89,22,-1,1,2
5,55,88,46,-1,72,1
5,56,117,6,-1,1,2
5,57,67,40,-1,1,2
5,58,107,82,-1,1,2
5,59,74,123,-1,1,2
5,60,77,85,-1,1,2
5,61,99,105,-1,1,2
5,62,111,78,-1,1,2
5,63,111,69,-1,1,2
5,64,100,60,-1,1,2
5,65,79,9,-1,1,2
5,66,98,59,-1,1,2
5,67,72,8,-1,1,2
5,68,89,91,-1,1,2
5,69,122,109,-1,1,2
5,70,108,87,-1,1,2
5,71,123,46,-1,1,2
5,72,87,59,-1,1,2
5,73,95,77,-1,1,2
5,74,97,44,-1,1,2
5,75,112,23,-1,1,2
5,76,103,57,-1,1,2
5,77,114,103,-1,1,2
5,78,122,115,-1,1,2
5,79,111,109,-1,1,2
5,80,112,55,-1,1,2
5,81,99,107,-1,1,2
5,82,87,103,33,1,2
5,83,112,104,-1,1,2
5,84,107,100,-1,1,2
5,85,92,70,-1,1,2
5,86,97,93,-1,1,2
5,87,114,123,-1,1,2
5,88,14,104,-1,24,8
5,89,94,90,-1,1,2
5,90,93,123,-1,1,2
5,91,2,122,-1,4,50
5,92,68,81,-1,1,2
5,93,114,31,-1,1,2
5,94,89,20,-1,1,2
5,95,106,41,-1,1,2
5,96,109,22,-1,1,2
5,97,98,101,-1,1,2
5,98,16,29,-1,29,15
5,99,84,24,-1,1,2
5,100,105,105,-1,1,2
5,101,41,88,-1,68,47
5,102,86,64,-1,1,2
5,103,85,108,-1,1,2
5,104,73,109,-1,1,2
5,105,6,51,-1,24,10
5,106,99,20,-1,1,2
5,107,88,13,-1,1,2
5,108,116,13,-1,1,2
5,109,49,84,-1,46,43
5,110,94,78,-1,1,2
5,111,63,122,-1,63,48
5,112,29,105,-1,68,66
5,113,91,29,-1,1,2
5,114,109,109,-1,1,2
5,115,38,41,-1,52,73
5,116,117,117,15,1,2
5,117,104,16,-1,1,2
5,118,113,18,-1,1,2
5,119,104,87,-1,1,2
5,120,97,29,-1,1,2
5,121,93,55,-1,1,2
5,122,76,52,-1,1,2
5,123,77,18,-1,1,2
5,124,118,26,-1,1,2
5,125,83,42,-1,1,2
5,126,101,87,-1,1,2
5,127,92,48,-1,1,2
5,128,100,108,-1,1,2
5,129,63,8,-1,1,2
5,130,87,8,-1,1,2
5,131,85,45,-1,1,2
5,132,89,13,-1,1,2
5,133,59,86,-1,1,2
5,134,111,35,-1,1,2
5,135,109,72,-1,1,2
5,136,68,43,-1,1,2
5,137,84,57,-1,1,2
5,138,88,86,-1,1,2
5,139,95,25,-1,1,2
5,140,87,17,-1,1,2
5,141,84,82,-1,1,2
5,142,104,84,-1,1,2
5,143,72,61,-1,1,2
5,144,99,47,-1,1,2
5,145,96,11,-1,1,2
5,146,71,39,-1,1,2
5,147,72,24,-1,1,2
5,148,62,72,-1,1,2
5,149,59,19,-1,1,2
5,150,74,75,-1,1,2
5,151,123,90,-1,1,2
5,152,36,117,-1,28,18
5,153,24,117,-1,46,19
5,154,66,121,-1,61,61
5,155,60,63,-1,1,2
5,156,69,76,-1,1,2
5,157,103,100,-1,1,2
5,158,102,98,-1,1,2
5,159,91,86,-1,1,2
5,160,65,90,-1,1,2
5,161,115,9,-1,1,2
5,162,28,11,-1,40,63
5,163,114,41,-1,1,2
5,164,102,52,-1,1,2
5,165,119,32,-1,1,2
5,166,87,78,-1,1,2
5,167,81,95,-1,1,2
5,168,80,45,-1,1,2
5,169,110,122,-1,1,2
5,170,73,73,-1,1,2
5,171,114,96,-1,1,2
5,172,97,86,-1,1,2
5,173,85,73,-1,1,2
5,174,113,47,25,1,2
5,175,107,100,-1,1,2
5,176,41,117,-1,1,2
6,1,91,46,-1,1,2
6,2,115,50,-1,1,2
6,3,99,22,-1,1,2
6,4,112,92,-1,1,2
6,5,106,38,-1,1,2
6,6,38,85,-1,1,2
6,7,97,15,-1,1,2
6,8,93,85,-1,1,2
6,9,115,122,-1,1,2
6,10,99,19,-1,1,2
6,11,116,102,-1,1,2
6,12,8,61,-1,30,43
6,13,113,23,-1,1,2
6,14,52,58,-1,1,2
6,15,69,66,-1,1,2
6,16,87,58,-1,1,2
6,17,27,25,-1,32,4
6,18,114,13,-1,1,2
6,19,21,33,-1,24,11
6,20,104,82,-1,1,2
6,21,85,43,-1,1,2
6,22,68,87,-1,1,2
6,23,74,37,-1,1,2
6,24,115,118,-1,1,2
6,25,83,48,-1,1,2
6,26,94,71,-1,1,2
6,27,72,66,-1,1,2
6,28,27,72,-1,1,2
6,29,75,114,-1,1,2
6,30,96,65,-1,1,2
6,31,86,5,-1,1,2
6,32,23,119,-1,65,29
6,33,117,7,-1,1,2
6,34,21,82,-1,19,17
6,35,45,65,-1,1,2
6,36,48,29,-1,1,2
6,37,69,31,-1,1,2
6,38,84,57,-1,1,2
6,39,99,77,-1,1,2
6,40,53,114,-1,1,2
6,41,117,114,-1,1,2
6,42,23,64,-1,50,55
6,43,19,117,-1,28,50
6,44,111,24,-1,1,2
6,45,109,73,-1,1,2
